,Title,User Rating,Metacritic,Number of Votes,Running Time,Release Date,Director
253,Wormwood,7.0,N/A,"3,478",4h 1min,TV Mini-Series (2017),Peter Sarsgaard
254,American Experience,8.5,N/A,"1,537",1h,TV Series (1988– ),Henry Hampton
255,Undertaker: The Last Ride,9.0,N/A,980,N/A,TV Mini-Series (2020),Mark Calaway
256,Amanda Knox,6.9,78,"20,253",1h 32min,30 September 2016 (USA),Rod Blackhurst
257,Gunda,7.5,N/A,64,1h 33min,August 2020 (Norway),Viktor Kosakovskiy
258,Leah Remini: Scientology and the Aftermath,9.1,N/A,"4,356",47min,TV Series (2016–2019),Leah Remini
259,Intervention,7.9,N/A,"2,408",44min,TV Series (2005– ),Sam Mettler
260,Abstract: The Art of Design,8.4,N/A,"4,556",45min,TV Series (2017– ),Platon
261,Going Clear: Scientology & the Prison of Belief,8.0,80,"36,442",1h 59min,25 June 2015 (Italy),Alex Gibney
262,A Haunting,8.0,N/A,"2,830",1h,TV Series (2005–2019),Anthony D. Call
263,Meru,7.7,77,"14,631",1h 30min,14 August 2015 (USA),Jimmy Chin
264,The Red Pill,8.2,N/A,"10,094",1h 48min,7 March 2017 (USA),Cassie Jaye
265,Before the Flood,8.3,63,"25,829",1h 36min,30 October 2016 (USA),Fisher Stevens
266,Song Exploder,N/A,N/A,N/A,N/A,TV Series (2020– ),Ty Dolla $ign
267,Through the Wormhole,8.6,N/A,"16,579",1h,TV Series (2010–2017),Morgan Freeman
268,Rotten,7.2,N/A,"2,803",55min,TV Series (2018–2019),Latif Nasser
269,QT8: The First Eight,7.3,N/A,"2,309",1h 43min,21 October 2019 (USA),Tara Wood
270,Zappa,N/A,N/A,N/A,N/A,27 November 2020 (USA),Alex Winter
271,The Innocent Man,7.3,N/A,"4,627",4h 44min,TV Mini-Series (2018),Ross M. Dinerstein
272,Frozen Planet,9.0,N/A,"25,988",5h 33min,TV Mini-Series (2011–2012),David Attenborough
273,The Legend of Boggy Creek,5.2,N/A,"2,753",1h 27min,25 August 1972 (USA),Charles B. Pierce
274,Knock Down the House,7.0,80,"10,584",1h 27min,1 May 2019 (USA),Rachel Lears
275,Echo in the Canyon,6.9,69,"2,230",1h 22min,7 June 2019 (Canada),Andrew Slater
276,One Direction: This Is Us,4.2,N/A,"23,365",1h 32min,30 August 2013 (USA),Morgan Spurlock
277,Overhaulin',6.8,N/A,"1,377",1h,TV Series (2004– ),Lee Reherman
278,The Goop Lab,2.4,N/A,"2,674",30min,TV Series (2020– ),Gwyneth Paltrow
279,Teen Mom 2,4.3,N/A,"2,025",1h,TV Series (2011– ),Jenelle Evans
280,Cybergirl of the Year,7.2,N/A,30,25min,TV Series (2018– ),Tahlia Paris
281,Brain Games,8.3,N/A,"2,929",1h,TV Series (2011– ),Jerry Kolber
282,Skin: A History of Nudity in the Movies,7.1,64,65,2h 10min,18 August 2020 (USA),Danny Wolf
283,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.6,86,"4,985",2h 22min,12 June 2019 (USA),Martin Scorsese
284,48 Hours,7.4,N/A,"1,609",1h,TV Series (1988– ),Judy Tygard
285,A Haunting on Dice Road: The Hell House,6.0,N/A,277,1h 30min,28 October 2016 (USA),Steven 'Prozak' Shippy
286,Where to Invade Next,7.5,64,"23,250",2h,25 February 2016 (Germany),Michael Moore
287,A Crime to Remember,8.3,N/A,912,N/A,TV Series (2013– ),Christine Connor
288,Stuntwomen: The Untold Hollywood Story,7.4,N/A,14,1h 24min,22 September 2020 (USA),April Wright
289,Top Gear USA,5.4,N/A,"5,718",45min,TV Series (2008– ),Tanner Foust
290,Missing 411,6.4,N/A,"1,076",1h 38min,2016 (USA),Michael DeGrazier
291,Medal of Honor,8.4,N/A,"1,299",1h,TV Series (2018– ),Josh Charles
292,"Sex, Explained",6.9,N/A,"2,022",N/A,TV Series (2020– ),Janelle Monáe
293,Streetwise,8.2,N/A,"1,644",1h 31min,26 October 1984 (USA),Martin Bell
294,Hoop Dreams,8.3,98,"24,021",2h 50min,14 October 1994 (USA),Steve James
295,1000 Ways to Die,6.9,N/A,"3,327",23min,TV Series (2008–2012),Thom Beers
296,Spaceship Earth,6.4,73,955,1h 53min,8 May 2020 (USA),Matt Wolf
297,The Cove,8.4,84,"46,897",1h 32min,7 August 2009 (USA),Louie Psihoyos
298,American Masters,8.0,N/A,743,1h 30min,TV Series (1985– ),Susan Lacy
299,MLK/FBI,7.0,76,36,1h 44min,15 January 2021 (USA),Sam Pollard
300,Cursed Films,7.1,N/A,674,30min,TV Series (2020),Phil Nobile Jr.
301,Cowspiracy: The Sustainability Secret,8.3,N/A,"20,691",1h 30min,15 September 2015 (Netherlands),Kip Andersen
302,Super Size Me 2: Holy Chicken!,7.1,61,"2,790",1h 33min,13 September 2019 (USA),Morgan Spurlock
303,Capturing the Friedmans,7.7,90,"23,733",1h 47min,18 July 2003 (USA),Andrew Jarecki
304,Man on Wire,7.7,89,"52,021",1h 34min,29 August 2008 (USA),James Marsh
305,Nude,5.8,N/A,362,1h 34min,29 October 2017 (USA),Tony Sacco
306,The Great Fellove,N/A,N/A,N/A,N/A,September 2020 (Spain),Matt Dillon
307,Lone Star Law,7.9,N/A,154,N/A,TV Series (2016– ),Rider
308,Sicko,7.9,74,"73,258",2h 3min,3 July 2007 (USA),Michael Moore
309,Waltz with Bashir,8.0,91,"54,506",1h 30min,12 June 2008 (Israel),Ari Folman
310,You Don't Nomi,6.8,66,412,1h 32min,9 June 2020 (USA),Jeffrey McHale
311,Zeitgeist,8.1,N/A,"47,791",1h 58min,Video 1 June 2007,Peter Joseph
312,Emergency Call,7.4,N/A,35,N/A,TV Series (2020– ),Allyssa Brooke
313,Killer Inside: The Mind of Aaron Hernandez,7.4,N/A,"11,702",3h 22min,TV Mini-Series (2020),Kevin Armstrong
314,Hail Satan?,7.3,76,"5,164",1h 35min,17 April 2019 (USA),Penny Lane
315,John Was Trying to Contact Aliens,6.3,N/A,900,16min,20 August 2020 (USA),Matthew Killip
316,The Bridge,7.2,N/A,"10,937",1h 34min,16 February 2007 (UK),Eric Steel
317,Marvel's 616,N/A,N/A,N/A,N/A,TV Series (2020– ),Sana Amanat
318,Immigration Nation,7.3,N/A,784,N/A,TV Series (2020– ),N/A
319,Harlan County U.S.A.,8.3,80,"4,869",1h 43min,28 September 1977 (France),Barbara Kopple
320,Snapped,7.7,N/A,993,30min,TV Series (2004– ),Sharon Martin
321,Stars and Strife,5.1,N/A,11,1h 37min,11 August 2020 (USA),David Smick
322,Twenty Feet from Stardom,7.4,83,"12,184",1h 31min,26 July 2013 (USA),Morgan Neville
323,Frontline,8.5,N/A,"1,576",1h,TV Series (1983– ),Will Lyman
324,The Confession Killer,7.4,N/A,"5,346",4h,TV Mini-Series (2019),Nan Cuba
325,The Cold Blue,7.5,N/A,616,1h 41min,4 July 2019 (USA),Erik Nelson
326,Pavarotti,7.5,66,"2,436",1h 54min,30 December 2019 (USA),Ron Howard
327,Laurel Canyon,8.2,N/A,438,1h 18min,TV Series (2020– ),Henry Diltz
328,The Hocus Pocus 25th Anniversary Halloween Bash,7.4,N/A,85,1h 26min,TV Movie 20 October 2018,Joe DeMaio
329,Titicut Follies,7.7,N/A,"3,973",1h 24min,4 September 1992 (Australia),Frederick Wiseman
330,Ghost Adventures: Screaming Room,6.9,N/A,47,42min,TV Series (2020– ),Zak Bagans
331,How It Really Happened with Hill Harper,6.7,N/A,65,42min,TV Series (2016– ),Hill Harper
332,Safeguard: An Electoral College Story,5.1,N/A,57,1h 16min,9 September 2020 (USA),M.A. Taylor
333,Inside Bill's Brain: Decoding Bill Gates,7.9,N/A,"8,245",52min,TV Mini-Series (2019),Alex Bueermann
334,Black Boys,3.9,N/A,147,1h 35min,16 August 2020 (USA),Sonia Lowman
335,Playboy Wet & Wild: Slippery When Wet,6.3,N/A,114,58min,Video,Scott Allen
336,Above Majestic,6.3,N/A,924,2h 13min,30 October 2018 (USA),Roger R. Richards
337,Framing John DeLorean,6.5,67,"1,262",1h 49min,7 June 2019 (USA),Don Argott
338,Fireball: Visitors from Darker Worlds,7.7,69,39,1h 37min,October 2020 (USA),Werner Herzog
339,Game of Thrones: The Last Watch,7.2,N/A,"5,516",1h 54min,TV Movie 26 May 2019,Jeanie Finlay
340,Devil's Road: The True Story of Ed and Lorraine Warren,7.0,N/A,51,1h 24min,TV Movie 7 September 2020,Ed Warren
341,Once Were Brothers: Robbie Robertson and the Band,7.2,61,720,1h 40min,21 February 2020 (USA),Daniel Roher
342,Enron: The Smartest Guys in the Room,7.6,N/A,"16,546",1h 50min,20 May 2005 (USA),Alex Gibney
343,One Child Nation,7.5,85,"4,212",1h 28min,9 August 2019 (USA),Nanfu Wang
344,Ugly Delicious,7.8,N/A,"2,923",50min,TV Series (2018– ),David Chang
345,This Film Is Not Yet Rated,7.5,75,"27,230",1h 38min,1 September 2006 (UK),Kirby Dick
346,The Family I Had,6.9,N/A,662,1h 17min,23 September 2017 (Netherlands),Katie Green
347,Chasing Ice,7.8,75,"8,183",1h 15min,14 December 2012 (UK),Jeff Orlowski
348,I Shouldn't Be Alive,8.1,N/A,"1,852",1h,TV Series (2005– ),Eric Meyers
349,I Am A Killer: Released,5.2,N/A,424,N/A,TV Series (2020– ),Tommy LeNoir
350,The Men Who Built America,8.6,N/A,"3,456",4h 55min,TV Mini-Series (2012),Campbell Scott
351,Unidentified: Inside America's UFO Investigation,7.5,N/A,519,N/A,TV Series (2019– ),Bryan Bender
352,Voyeur,6.2,N/A,"4,653",1h 35min,1 December 2017 (USA),Myles Kane
353,The Song Remains the Same,7.7,N/A,"7,648",2h 17min,20 October 1976 (USA),Peter Clifton
354,Public Trust,8.5,N/A,30,1h 36min,17 February 2020 (USA),David Byars
355,TFW NO GF,5.6,N/A,475,1h 23min,27 April 2020 (USA),Alex Lee Moyer
356,Actress.,N/A,N/A,N/A,N/A,1 March 2018 (USA),Evan Scott Russell
357,The Weight of Gold,7.1,N/A,296,1h,29 July 2020 (USA),Brett Rapkin
358,John Wick Chapter 2: Wick-vizzed,7.8,N/A,"14,584",5min,Video 13 June 2017,Josh Oreck
359,Death of a Nation,4.6,N/A,"6,272",1h 48min,3 August 2018 (USA),Dinesh D'Souza
360,16 and Recovering,6.9,N/A,14,N/A,TV Series (2020– ),N/A
361,Trial by Media,7.2,N/A,"1,841",N/A,TV Series (2020– ),Al Sharpton
362,Five Came Back,8.3,N/A,"3,665",1h,TV Mini-Series (2017),Francis Ford Coppola
363,The Kingmaker,7.6,76,"1,280",1h 41min,8 November 2019 (USA),Lauren Greenfield
364,The Speed Cubers,7.5,N/A,"1,860",39min,29 July 2020 (USA),Sue Kim
365,"Little People, Big World",6.1,N/A,"2,283",1h,TV Series (2006– ),Matthew Roloff
366,The Confession Tapes,7.5,N/A,"4,561",46min,TV Series (2017– ),Kelly Loudenberg
367,Restrepo,7.5,85,"21,790",1h 33min,6 August 2010 (USA),Tim Hetherington
368,Meet the Patels,7.2,70,"3,140",1h 28min,11 September 2015 (USA),Geeta V. Patel
369,Father Soldier Son,7.3,74,642,1h 39min,17 July 2020 (USA),Leslye Davis
370,Cobain: Montage of Heck,7.5,83,"27,628",2h 25min,4 May 2015 (USA),Brett Morgen
371,On the Record,7.1,84,407,1h 35min,27 May 2020 (USA),Kirby Dick
372,QB1: Beyond the Lights,7.8,N/A,690,35min,TV Series (2017– ),Tayvon Bowers
373,Wrestling Isn't Wrestling,8.5,N/A,966,25min,Video 14 March 2015,Max Landis
374,Biography,7.7,N/A,"1,590",1h,TV Series (1987– ),Agnes Nixon
375,Before the Wrath,8.5,N/A,72,1h 24min,3 March 2020 (USA),Brent Miller Jr.
376,The Making of the Mob,7.9,N/A,"2,165",5h 43min,TV Series (2015– ),Ian Bell
377,The Look of Silence,8.3,92,"11,528",1h 43min,17 July 2015 (USA),Joshua Oppenheimer
378,Lost Gold of WW2,6.3,N/A,239,1h,TV Series (2019– ),John Casey
379,Ghost Nation,6.2,N/A,552,42min,TV Series (2019– ),Jason Hawes
380,"I Love You, Now Die: The Commonwealth v. Michelle Carter",7.5,N/A,"3,831",2h 23min,4 May 2019 (Canada),Erin Lee Carr
381,Robin Williams: Come Inside My Mind,8.0,74,"6,636",1h 56min,16 July 2018 (USA),Marina Zenovich
382,Room 237,6.2,80,"20,730",1h 42min,26 October 2012 (UK),Rodney Ascher
383,Jasper Mall,6.5,N/A,251,1h 25min,24 January 2020 (USA),Bradford Thomason
384,House of Cardin,8.2,61,77,1h 35min,15 September 2020 (USA),P. David Ebersole
385,The Apollo,6.4,77,408,1h 38min,22 November 2020 (New Zealand),Roger Ross Williams
386,Glee: The 3D Concert Movie,5.4,N/A,"5,615",1h 24min,12 August 2011 (USA),Kevin Tancharoen
387,Expeditions to the Edge,7.2,N/A,35,N/A,TV Series (2004– ),David Paluck
388,Boobs: An American Obsession,5.9,N/A,211,1h 28min,9 February 2010 (USA),Nina Brownfield-Berry
389,Deadly Women,8.0,N/A,"1,547",43min,TV Series (2008– ),Lynnanne Zager
390,Plandemic,6.5,N/A,820,1h 39min,TV Series (2020– ),David Martin
391,Jiro Dreams of Sushi,7.9,77,"33,081",1h 21min,15 March 2012 (Denmark),David Gelb
392,The F.B.I. Files,7.8,N/A,886,1h,TV Series (1998–2009),James Kallstrom
393,BuzzFeed Unsolved: True Crime,8.9,N/A,925,N/A,TV Series (2016– ),Ryan Bergara
394,The China Hustle,7.2,67,"2,503",1h 22min,23 March 2018 (USA),Jed Rothstein
395,West of Memphis,7.9,80,"9,718",2h 27min,22 November 2012 (Portugal),Amy Berg
396,American Movie,7.9,84,"16,538",1h 47min,13 April 2000 (Australia),Chris Smith
397,The Wild and Wonderful Whites of West Virginia,7.1,N/A,"3,889",1h 26min,5 May 2010 (USA),Julien Nitzberg
398,The Imagineering Story,9.1,N/A,"1,912",1h,TV Series (2019– ),Angela Bassett
399,"Dirty John, The Dirty Truth",6.1,N/A,"1,727",1h 28min,TV Movie 14 January 2019,Sara Mast
400,Obsession: Dark Desires,7.4,N/A,353,43min,TV Series (2013– ),Stephanie Jones
401,Pandemic: How to Prevent an Outbreak,6.3,N/A,"2,420",50min,TV Series (2020– ),Syra Madad
402,Hellier,5.8,N/A,629,50min,TV Mini-Series (2019),Dana Matthews
403,The Great Dance: A Hunter's Story,7.5,71,39,1h 30min,31 October 2002 (Germany),Craig Foster
404,Buena Vista Social Club,7.7,81,"16,412",1h 45min,4 June 1999 (USA),Wim Wenders
405,Unusual Suspects,7.6,N/A,761,44min,TV Series (2010– ),Mocean Melvin
406,The Panama Papers,7.2,76,996,1h 36min,6 October 2018 (USA),Alex Winter
407,Ghosts of the Abyss,6.8,67,"4,934",1h 1min,10 September 2003 (France),James Cameron
408,I Survived...,8.5,N/A,677,45min,TV Series (2008– ),Michelle Renee
409,Netflix vs. the World,6.8,N/A,378,1h 44min,24 April 2020 (USA),Shawn Cauthen
410,The Toys That Made Us,8.1,N/A,"4,594",46min,TV Series (2017– ),Donald Ian Black
411,"The Mind, Explained",8.0,N/A,"3,423",20min,TV Mini-Series (2019– ),Emma Stone
412,The Comedy Store,N/A,N/A,N/A,N/A,TV Mini-Series (2020– ),Molly Cravens
413,Equal,N/A,N/A,N/A,N/A,TV Series (2020– ),Billy Porter
414,In the Shadow of the Moon,8.0,84,"6,500",1h 40min,2 November 2007 (UK),David Sington
415,Playboy Wet & Wild: The Locker Room,7.1,N/A,58,52min,Video 1994,Scott Allen
416,Inherent Good,N/A,N/A,N/A,N/A,N/A,Steve Borst
417,Ted Bundy: Falling for a Killer,7.9,N/A,"1,341",3h 51min,TV Mini-Series (2020),Elizabeth Kendall
418,Sex with Strangers,4.4,N/A,349,1h 45min,22 February 2002 (USA),Harry Gantz
419,The Oprah Conversation,2.4,N/A,73,N/A,TV Series (2020– ),Oprah Winfrey
420,Web of Lies,7.8,N/A,601,43min,TV Series (2014– ),Nathan Wiley
421,When We Were Kings,8.0,83,"14,950",1h 28min,14 February 1997 (USA),Leon Gast
422,Jackass 3.5,6.7,N/A,"18,230",1h 24min,Video 1 April 2011,Jeff Tremaine
423,Cave of Forgotten Dreams,7.4,86,"14,963",1h 30min,31 August 2011 (France),Werner Herzog
424,Machine,6.2,N/A,91,1h 26min,15 March 2020 (UK),Justin Krook
425,Disappeared,8.0,N/A,916,N/A,TV Series (2009–2018),Christopher Crutchfield Walker
426,Zero Days,7.8,77,"8,678",1h 56min,8 July 2016 (USA),Alex Gibney
427,John Lewis: Good Trouble,6.7,70,333,1h 36min,3 July 2020 (USA),Dawn Porter
428,Soaked in Bleach,7.4,N/A,"10,948",1h 30min,11 June 2015 (USA),Benjamin Statler
429,Fatal Attraction,8.0,N/A,250,2h,TV Series (2013– ),Malikha Mallette
430,Be Here Now,8.6,N/A,"3,171",1h 40min,28 February 2017 (UK),Lilibet Foster
431,Roadhouse 30th Anniversary Interviews,N/A,N/A,N/A,N/A,TV Mini-Series (2019),Lauri Crossman
432,What the Bleep!?: Down the Rabbit Hole,6.5,N/A,"2,635",2h 36min,23 March 2006 (Australia),William Arntz
433,Paranormal Caught on Camera,6.1,N/A,276,43min,TV Series (2019– ),Brian J. Cano
434,Any One of Us,7.2,N/A,192,1h 27min,25 February 2020 (Mexico),Fernando Villena
435,Deep Web,7.0,N/A,"8,916",1h 30min,21 November 2015 (Norway),Alex Winter
436,The UnXplained,7.3,N/A,422,N/A,TV Series (2019– ),William Shatner
437,Be Water,7.4,N/A,745,1h 45min,7 June 2020 (USA),Bao Nguyen
438,There's Something Wrong with Aunt Diane,6.7,N/A,"4,244",1h 41min,TV Movie 25 July 2011,Liz Garbus
439,The Movies,7.8,N/A,720,2h,TV Series (2019),Paul Thomas Anderson
440,Washington,8.1,N/A,560,N/A,TV Mini-Series (2020),Jeff Daniels
441,Jane,7.8,87,"4,416",1h 30min,24 November 2017 (Ireland),Brett Morgen
442,The T.A.M.I. Show,8.3,N/A,781,2h 3min,29 December 1964 (USA),Steve Binder
443,Get Out,6.2,N/A,137,22min,TV Series (2003– ),Lindsay Clubine
444,The Disappearance of Madeleine McCann,6.6,N/A,"7,740",1h,TV Series (2019– ),Anthony Summers
445,Sinatra: All or Nothing at All,8.0,N/A,"1,927",4h,TV Mini-Series (2015),Pete Hamill
446,This Old House,7.6,N/A,695,30min,TV Series (1979– ),Norm Abram
447,Roger & Me,7.4,70,"25,413",1h 31min,20 December 1989 (USA),Michael Moore
448,Jimmy Carter: Rock & Roll President,7.2,71,24,N/A,9 September 2020 (USA),Mary Wharton
449,Western Stars,7.5,80,"1,316",1h 23min,25 October 2019 (USA),Bruce Springsteen
450,City Hall,7.6,89,41,4h 32min,14 October 2020 (France),Frederick Wiseman
451,The Most Dangerous Animal of All,6.2,N/A,443,N/A,TV Mini-Series (2020– ),Kief Davidson
452,Nanook of the North,7.6,N/A,"10,648",1h 18min,11 June 1922 (USA),Robert J. Flaherty
453,River Monsters,8.1,N/A,"4,485",42min,TV Series (2009–2017),Jeremy Wade
454,Dads,6.3,N/A,690,1h 27min,19 June 2020 (USA),Bryce Dallas Howard
455,George Harrison: Living in the Material World,8.2,N/A,"10,424",3h 28min,4 October 2011 (UK),Martin Scorsese
456,Hunt for the Skinwalker,4.4,N/A,549,2h 7min,11 September 2018 (USA),Jeremy Kenyon Lockyer Corbell
457,A Most Beautiful Thing,9.4,79,29,1h 35min,31 July 2020 (USA),Mary Mazzio
458,Amazing Grace,7.5,94,"3,362",1h 29min,5 April 2019 (USA),Alan Elliott
459,Who Killed Garrett Phillips?,7.4,N/A,"1,518",3h 6min,24 July 2019 (Hungary),Liz Garbus
460,The Devil and Father Amorth,4.6,N/A,"1,868",1h 8min,20 April 2018 (USA),William Friedkin
461,"Playboy: No Boys Allowed, 100% Girls",6.6,N/A,68,51min,Video 19 September 2000,Styx Jones
462,Penguins,7.0,69,"1,276",1h 16min,17 April 2019 (USA),Alastair Fothergill
463,Helmut Newton: The Bad and the Beautiful,7.5,66,68,1h 33min,9 July 2020 (Germany),Gero von Boehm
464,A Gray State,6.2,74,"1,355",1h 33min,3 November 2017 (USA),Erik Nelson
465,American Monster,7.5,N/A,311,N/A,TV Series (2016– ),Tom Streithorst
466,The King of Ads,5.4,N/A,199,1h 14min,1991 (France),Jean-Marie Boursicot
467,Jesus Camp,7.4,62,"26,174",1h 27min,22 December 2006 (Canada),Heidi Ewing
468,Inside Deep Throat,6.7,64,"6,445",1h 29min,21 April 2005 (Russia),Fenton Bailey
469,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,8.1,87,"22,563",1h 47min,5 March 2004 (USA),Errol Morris
470,Desert One,7.5,80,57,1h 47min,21 August 2020 (USA),Barbara Kopple
471,The Decline of Western Civilization,7.6,93,"3,583",1h 40min,1983 (Italy),Penelope Spheeris
472,Cartel Land,7.4,76,"17,671",1h 40min,3 July 2015 (USA),Matthew Heineman
473,LA 92,8.2,66,"4,851",1h 54min,21 April 2017 (USA),Daniel Lindsay
474,Becoming Bond,7.5,65,"2,275",1h 35min,20 May 2017 (USA),Josh Greenbaum
475,Travis Scott: Look Mom I Can Fly,6.3,N/A,"3,250",1h 24min,28 August 2019 (USA),White Trash Tyler
476,The Central Park Five,7.7,79,"6,866",1h 59min,25 April 2014 (Germany),Ken Burns
477,Beware the Slenderman,6.2,N/A,"5,966",1h 54min,26 August 2018 (Sweden),Irene Taylor Brodsky
478,Men in Kilts,N/A,N/A,N/A,N/A,TV Series,Sam Heughan
479,Citizen K,6.8,76,667,2h 6min,13 December 2019 (UK),Alex Gibney
480,Louis Theroux's Weird Weekends,8.5,N/A,"2,735",1h,TV Series (1998–2000),Louis Theroux
481,My Truth: The Rape of Two Coreys,6.3,N/A,249,1h 25min,10 March 2020 (USA),Brian Herzlinger
482,19 Kids and Counting,3.2,N/A,"2,381",30min,TV Series (2008–2015),Michelle Duggar
483,Pretending I'm a Superman: The Tony Hawk Video Game Story,7.0,N/A,305,1h 13min,18 August 2020 (USA),Ludvig Gür
484,Red Dog,6.4,N/A,179,1h 45min,9 March 2019 (USA),Casey Pinkston
485,Biography: The Nine Lives of Ozzy Osbourne,8.6,N/A,58,1h 26min,TV Movie 7 September 2020,Greg Johnston
486,Wrong Man,6.7,N/A,205,1h,TV Series (2018– ),N/A
487,The Mask You Live In,7.6,N/A,"2,430",1h 37min,25 January 2015 (USA),Jennifer Siebel Newsom
488,Gimme Shelter,7.9,80,"10,594",1h 31min,13 December 1970 (UK),Albert Maysles
489,The Wolfpack,7.0,75,"11,827",1h 30min,10 July 2015 (USA),Crystal Moselle
490,Fat Fiction,8.1,N/A,"1,120",1h 55min,13 March 2020 (USA),Jennifer Isenhart
491,Take Your Pills,6.4,N/A,"4,213",1h 27min,16 March 2018 (USA),Alison Klayman
492,Hunting Hitler,7.5,N/A,"2,024",42min,TV Series (2015– ),Dave Hoffman
493,Human Nature,7.6,77,661,1h 35min,12 March 2020 (USA),Adam Bolt
494,Saving Capitalism,6.8,N/A,"2,475",1h 13min,21 November 2017 (USA),Jacob Kornbluth
495,Hillary's America: The Secret History of the Democratic Party,5.3,N/A,"6,666",1h 46min,22 July 2016 (USA),Dinesh D'Souza
496,Dr. 90210,4.5,N/A,468,N/A,TV Series (2004– ),Robert M. Rey
497,Voyage of Time: Life's Journey,6.4,68,"4,197",1h 30min,4 May 2017 (France),Terrence Malick
498,Ancient China From Above,6.9,N/A,19,1h,TV Series (2020– ),Allan Maca
499,Platoon: Brothers in Arms,7.6,N/A,142,1h 29min,13 November 2018 (USA),Paul Sanchez
500,Capitalism: A Love Story,7.4,61,"40,869",2h 7min,2 October 2009 (USA),Michael Moore
501,Happy Happy Joy Joy: The Ren & Stimpy Story,7.0,N/A,282,1h 44min,14 August 2020 (USA),Ron Cicero
502,Marley,8.0,82,"13,046",2h 24min,20 April 2012 (UK),Kevin Macdonald
