,Rank_MOJO_by_Box_office,Title,Lifetime_Gross_MOJO,Max_Theaters,Opening_Box,Opening_Th,User_Rating_IMDB,Metacritic,Number_of_votes_IMDB,Release_Difference,CBS Films,Focus Features,IDP Distribution,IMAX,Lionsgate,National Geographic Entertainment,Neon,Other,Overture Films,Paramount Classics,Paramount Pictures,Sony Pictures Entertainment (SPE),United Artists,Walt Disney Studios Motion Pictures,Warner Bros.,Warner Independent Pictures (WIP)
391,909,After Tiller,72125,6.0,15500.0,2.0,7.4,75.0,1010,11851.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
392,912,The Invisible War,71968,19.0,16500.0,4.0,7.6,75.0,6541,11396.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
393,913,Dancer,71917,10.0,7140.0,1.0,7.9,65.0,2596,12936.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
394,914,Raiders!: The Story of the Greatest Fan Film Ever Made,71916,27.0,26059.0,24.0,6.9,70.0,2018,12852.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
395,917,Air Guitar Nation,71471,10.0,7035.0,1.0,7.1,72.0,1279,9478.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
396,920,Crossing the Bridge: The Sound of Istanbul,70685,3.0,9161.0,1.0,7.9,73.0,6012,9191.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
397,922,The Business of Being Born,69991,3.0,9574.0,1.0,7.4,68.0,1300,9770.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
398,924,Zoo,69770,5.0,7811.0,1.0,5.6,63.0,2686,9511.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
399,932,Shake Hands with the Devil: The Journey of Roméo Dallaire,68249,4.0,1848.0,1.0,8.1,80.0,1012,8799.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
400,933,Maidentrip,68243,9.0,1622.0,1.0,7.5,70.0,3656,11942.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
401,934,The Silence of Others,67986,6.0,7868.0,1.0,8.0,73.0,1426,13907.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
402,935,The Pervert's Guide to Ideology,67966,4.0,9165.0,1.0,7.6,71.0,6136,11893.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
403,936,I Am Big Bird: The Caroll Spinney Story,67845,17.0,10000.0,1.0,7.5,71.0,1407,12444.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
404,938,Happy Valley,67665,7.0,27122.0,7.0,7.1,76.0,1116,9849.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
405,1355,Happy Valley,23868,4.0,9047.0,4.0,7.1,76.0,1116,12278.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
406,958,Let the Fire Burn,64489,9.0,5226.0,1.0,7.8,86.0,1261,11863.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
407,959,Rock School,64310,32.0,28136.0,32.0,6.4,67.0,1000,8820.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
408,964,Drunk Stoned Brilliant Dead,62660,22.0,5254.0,1.0,7.2,74.0,2065,12586.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
409,967,The Cave,62625,10.0,21185.0,2.0,7.5,83.0,2176,14070.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
410,968,Tomorrow,62510,20.0,1480.0,1.0,8.0,71.0,3136,13118.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
411,970,Mifune: The Last Samurai,62279,9.0,4296.0,1.0,7.2,64.0,933,13013.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
412,973,Dark Star: HR Gigers Welt,61845,10.0,8349.0,5.0,7.0,62.0,1027,12453.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
413,974,If a Tree Falls: A Story of the Earth Liberation Front,61794,5.0,5634.0,2.0,7.2,65.0,3053,11030.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
414,975,War Photographer,61040,1.0,9327.0,1.0,8.0,79.0,3938,7740.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
415,990,Roman Polanski: Wanted and Desired,59192,9.0,4613.0,1.0,7.2,78.0,4799,9954.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
416,991,The Trials of Muhammad Ali,59081,10.0,2980.0,1.0,7.3,74.0,1048,11823.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
417,993,Maxed Out,58829,6.0,20024.0,6.0,7.2,65.0,2139,9464.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
418,994,Side by Side,58825,9.0,6956.0,1.0,7.6,82.0,12946,11452.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
419,1008,Terms and Conditions May Apply,55824,6.0,4446.0,1.0,7.3,68.0,5863,11781.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
420,1011,The Lovers & the Despot,55511,13.0,14925.0,8.0,6.5,65.0,912,12950.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
421,1023,The Search for General Tso,54275,13.0,9336.0,2.0,6.9,72.0,1643,12320.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
422,1029,Making Waves: The Art of Cinematic Sound,53144,11.0,12348.0,3.0,7.6,80.0,1015,14077.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
423,1032,To Be Takei,52823,22.0,22846.0,22.0,6.8,66.0,1458,12187.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
424,1036,The Last Man on the Moon,52482,14.0,30880.0,13.0,7.4,78.0,3251,12740.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
425,1037,Cropsey,52476,4.0,6306.0,1.0,6.3,73.0,7574,10647.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
426,1044,The Missing Picture,52164,9.0,10148.0,5.0,7.4,87.0,3032,12031.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
427,1050,Tickling Giants,51499,17.0,8159.0,1.0,8.3,78.0,1545,13125.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
428,1053,God Loves Uganda,51229,5.0,7300.0,1.0,7.4,77.0,1156,11872.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
429,1069,The Internet's Own Boy: The Story of Aaron Swartz,48911,12.0,21705.0,12.0,8.0,72.0,15414,12131.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
430,1070,The Seven Five,48869,5.0,14785.0,2.0,7.6,69.0,5267,12446.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
431,1071,Ghosts of Cité Soleil,48752,3.0,7100.0,1.0,7.1,64.0,1727,9574.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
432,1075,The China Hustle,48650,20.0,25791.0,20.0,7.2,67.0,2505,13503.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
433,1077,Saving Banksy,47965,6.0,1317.0,1.0,6.8,73.0,1012,13062.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
434,1080,Terror's Advocate,47724,4.0,11197.0,3.0,7.2,75.0,1476,9681.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
435,1086,The Goebbels Experiment,47211,2.0,6769.0,1.0,7.3,67.0,942,8890.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
436,1087,Collapse,46964,5.0,7800.0,1.0,7.7,71.0,6623,10437.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
437,1093,William S. Burroughs: A Man Within,46380,4.0,6510.0,1.0,7.2,63.0,1039,10813.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
438,1118,For Sama,43796,4.0,9350.0,3.0,8.5,89.0,7763,13986.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
439,1120,A Grin Without A Cat,43616,1.0,8449.0,1.0,8.0,81.0,914,7691.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
440,1125,Next Goal Wins,43089,10.0,2568.0,5.0,7.9,71.0,2338,12068.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
441,1129,Midnight Family,42310,13.0,3030.0,1.0,7.4,81.0,1109,14119.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
442,1134,We Live in Public,41711,2.0,7325.0,1.0,7.2,69.0,1804,10367.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
443,1136,A State of Mind,41468,5.0,5515.0,1.0,7.7,63.0,1002,8888.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
444,1147,Hell and Back Again,40634,4.0,3413.0,1.0,6.5,81.0,2190,11135.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
445,1150,My Flesh and Blood,40573,7.0,18763.0,7.0,8.2,78.0,1693,8267.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
446,1155,What Our Fathers Did: A Nazi Legacy,40119,14.0,8132.0,2.0,7.0,69.0,1083,12628.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
447,1157,Unrest,40081,8.0,10607.0,1.0,7.7,80.0,2429,13314.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
448,1165,Prophet's Prey,39347,9.0,5000.0,1.0,7.3,77.0,1425,12579.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
449,1167,How to Make Money Selling Drugs,39192,5.0,9202.0,5.0,7.6,69.0,6597,11765.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
450,1187,78/52: Hitchcock's Shower Scene,37664,22.0,3738.0,1.0,7.3,74.0,3030,13335.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
451,1191,Grey Gardens,36923,1.0,13845.0,1.0,7.6,82.0,11941,12383.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
452,1198,Welcome to Leith,36010,5.0,3707.0,1.0,7.0,78.0,3834,12570.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
453,1202,The Year of the Yao,35591,12.0,27823.0,12.0,7.3,62.0,1087,8771.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
454,1203,Finders Keepers,35555,32.0,5740.0,5.0,6.8,80.0,2400,12586.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
455,1208,A Decade Under the Influence,34837,3.0,2320.0,1.0,7.6,67.0,2497,8050.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
456,1210,Comic-Con Episode IV: A Fan's Hope,34665,6.0,8203.0,3.0,7.0,64.0,2710,11319.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
457,1217,The Autobiography of Nicolae Ceausescu,34023,3.0,4644.0,1.0,7.7,87.0,1347,11109.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
458,1232,Of Time and the City,32677,2.0,5595.0,1.0,7.3,81.0,1896,10148.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
459,1238,Living in Emergency,32208,7.0,21905.0,7.0,8.0,76.0,1025,10647.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
460,1250,Whores' Glory,31420,3.0,5358.0,3.0,7.2,73.0,4613,11340.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
461,1252,Memory: The Origins of Alien,31378,19.0,14704.0,19.0,6.7,70.0,1976,14056.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
462,1256,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),30975,3.0,6078.0,1.0,7.6,68.0,1420,10745.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
463,1257,Patti Smith: Dream of Life,30918,1.0,9993.0,1.0,7.1,66.0,959,9980.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
464,1263,Dealt,30414,10.0,4293.0,1.0,7.6,66.0,1576,13342.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
465,1265,"3 1/2 Minutes, 10 Bullets",30407,8.0,2238.0,1.0,7.2,76.0,1699,12488.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
466,1266,The Take,30380,1.0,8625.0,1.0,7.7,66.0,1144,8566.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
467,1295,Hitler's Children,28663,3.0,2939.0,1.0,7.4,69.0,1156,11543.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
468,1302,The Nightmare,28281,16.0,13363.0,16.0,5.8,68.0,6377,12474.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
469,1304,The Ambassador,28102,8.0,13046.0,4.0,7.3,67.0,3833,11464.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
470,1332,Elena,25788,2.0,10341.0,1.0,7.6,81.0,1653,12103.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
471,1335,Kate Plays Christine,25564,3.0,6175.0,1.0,6.2,75.0,924,12922.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
472,1337,Lake of Fire,25317,9.0,2559.0,1.0,8.2,83.0,2447,9672.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
473,1370,My Scientology Movie,22936,6.0,11180.0,2.0,6.7,62.0,11831,13118.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
474,1382,And Everything Is Going Fine,22080,2.0,7035.0,1.0,7.1,76.0,1081,10836.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
475,1389,The Arbor,21620,3.0,2638.0,1.0,7.3,88.0,1770,10974.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
476,1399,Girl Model,21154,5.0,4898.0,1.0,6.5,68.0,2153,11471.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
477,1400,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",21152,6.0,4694.0,2.0,7.7,76.0,3929,10339.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
478,1405,Cameraman: The Life and Work of Jack Cardiff,20840,3.0,1998.0,1.0,7.7,71.0,1152,10990.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
479,1423,Shoah,20175,1.0,2874.0,1.0,8.6,99.0,8281,10836.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
480,1435,Active Measures,19862,2.0,9509.0,2.0,7.9,68.0,7388,13657.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
481,1467,Dear Zachary: A Letter to a Son About His Father,18334,3.0,2886.0,1.0,8.5,82.0,32511,10066.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
482,1473,Casting By,18164,2.0,5649.0,2.0,7.6,70.0,1435,11893.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
483,1476,Holy Hell,18051,3.0,9238.0,3.0,7.0,64.0,5041,12831.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
484,1510,Genesis,16413,1.0,4891.0,1.0,7.1,74.0,1393,8813.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
485,1516,I Like Killing Flies,16214,2.0,5487.0,1.0,7.3,71.0,1146,9240.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
486,1549,The Farthest,14773,2.0,6900.0,2.0,8.1,87.0,3748,13272.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
487,1550,Last Men in Aleppo,14637,5.0,1505.0,1.0,7.4,80.0,2580,13174.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
488,1552,Armadillo,14566,1.0,3958.0,1.0,7.5,72.0,9216,10962.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
489,1565,Newtown,14109,3.0,6796.0,2.0,6.8,87.0,1621,12964.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
490,1567,Screwball,13967,13.0,8595.0,13.0,7.1,72.0,1129,13867.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
491,1573,Who the #$&% Is Jackson Pollock?,13710,2.0,5526.0,2.0,7.0,70.0,1175,9350.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
492,1584,Red Obsession,13199,3.0,5060.0,2.0,6.7,68.0,1224,11837.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
493,1590,K2: Siren of the Himalayas,12959,2.0,1421.0,2.0,7.2,63.0,927,12187.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
494,1593,Children Underground,12798,1.0,3075.0,1.0,8.3,85.0,2190,7467.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
495,1598,Of Fathers and Sons,12579,6.0,340.0,1.0,7.3,70.0,2075,13734.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
496,1608,Elstree 1976,12173,14.0,3270.0,14.0,5.9,66.0,1307,12810.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
497,1616,A Murder in the Park,12088,3.0,1310.0,1.0,7.3,70.0,1081,12495.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
498,1622,Minding the Gap,11998,5.0,6812.0,4.0,8.1,90.0,7388,13643.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
499,1635,My Voyage to Italy,11683,1.0,7117.0,1.0,8.2,90.0,2992,7502.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500,1644,The Final Member,11428,10.0,2064.0,7.0,6.5,67.0,1110,12061.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
501,1679,Liv & Ingmar,10347,2.0,5451.0,2.0,7.4,74.0,1563,11935.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
502,1688,The Sunshine Makers,10042,7.0,1874.0,1.0,7.0,68.0,1248,13069.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
503,1695,Birth of the Living Dead,9802,10.0,1239.0,6.0,7.0,65.0,1542,11879.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
504,1726,Survivors Guide To Prison,8982,4.0,8982.0,4.0,7.1,66.0,995,13468.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
505,1742,Dreams of a Life,8405,1.0,3085.0,1.0,6.8,62.0,2938,11438.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
506,1750,We Are Twisted Fucking Sister!,8277,8.0,5804.0,6.0,7.1,65.0,1578,12733.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
507,1751,Silicon Cowboys,8239,12.0,5724.0,12.0,6.8,75.0,1861,12943.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
508,1758,The Other Side,8074,1.0,1246.0,1.0,6.7,65.0,1053,12824.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
509,1776,Last Days Here,7643,1.0,2671.0,1.0,7.5,71.0,1746,11284.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
510,1781,loudQUIETloud: A Film About the Pixies,7506,3.0,3792.0,3.0,7.2,63.0,1299,9303.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
511,1805,Los Angeles Plays Itself,6945,1.0,5005.0,1.0,8.0,86.0,2139,8510.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
512,1811,Steve McQueen: The Man & Le Mans,6843,2.0,4079.0,2.0,6.8,64.0,1380,12635.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
513,1841,The Work,5853,2.0,3286.0,2.0,7.8,84.0,1979,13349.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
514,1878,Street Fight,4779,2.0,3888.0,2.0,7.9,85.0,1892,9084.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
515,1903,McLibel,4337,3.0,1821.0,1.0,7.2,81.0,2057,8827.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
516,1926,In the Basement,3643,1.0,748.0,1.0,6.7,68.0,2390,12628.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
517,1927,Stop The Pounding Heart,3642,1.0,2363.0,1.0,6.7,70.0,927,12215.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
518,1953,Showrunners: The Art of Running a TV Show,3100,1.0,3100.0,1.0,6.7,68.0,1125,12257.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
519,1972,Knuckle,2647,3.0,2647.0,3.0,6.8,65.0,2693,11200.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
520,1986,You're Gonna Miss Me,2324,1.0,1340.0,1.0,7.6,64.0,988,9555.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
521,1991,Workingman's Death,2214,2.0,2214.0,2.0,8.0,67.0,1647,9086.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
522,1998,"Accidental Courtesy: Daryl Davis, Race & America",1940,1.0,1452.0,1.0,7.7,63.0,1019,13055.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
523,2027,Jason Becker: Not Dead Yet,1294,2.0,319.0,2.0,8.1,70.0,1138,11569.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
