,Rank_BX,Year,Title,Worldwide Box Office_BX,Domestic Box Office_BX,International Box Office_BX
1,1,2009,Michael Jackson's This Is It,"$252,091,016","$72,091,016","$180,000,000"
2,2,1984,Grand Canyon: The Hidden Secrets,"$239,000,000","$52,800,000","$186,200,000"
3,3,2004,Fahrenheit 9/11,"$221,148,959","$119,114,517","$102,034,442"
4,4,2005,La marche de l'empereur,"$133,276,359","$77,437,223","$55,839,136"
5,5,1998,Everest,"$127,990,128","$87,178,599","$40,811,529"
6,6,2002,Space Station,"$126,513,186","$93,231,060","$33,282,126"
7,7,2009,Earth,"$116,773,317","$32,011,576","$84,761,741"
8,8,2014,Where Are We Going Dad?,"$112,370,000",,"$112,370,000"
9,9,1998,Mysteries of Egypt,"$90,000,000","$40,593,286","$49,406,714"
10,10,2006,Deep Sea 3D,"$88,184,616","$46,406,434","$41,778,182"
11,11,2010,Oceans,"$86,787,530","$19,422,319","$67,365,211"
12,12,2018,"Li hai le, wo de guo","$72,506,344",,"$72,506,344"
13,13,1985,The Dream is Alive,"$70,000,000","$70,000,000",
14,14,2000,Dolphins,"$69,600,000","$54,000,000","$15,600,000"
15,15,2010,Hubble 3D,"$68,215,330","$52,509,100","$15,706,230"
16,16,1991,Antarctica,"$66,070,389","$65,000,000","$1,070,389"
17,17,1995,The Living Sea,"$64,800,000","$64,800,000",
18,18,2002,Bowling for Columbine,"$58,240,487","$21,576,018","$36,664,469"
19,19,2006,An Inconvenient Truth,"$53,365,925","$24,146,161","$29,219,764"
20,20,1989,To the Limit,"$53,000,000","$53,000,000",
21,21,2007,Sea Monsters: A Prehistoric Adventure,"$50,728,163","$23,746,066","$26,982,097"
22,22,2009,Under the Sea 3D,"$46,890,944","$36,252,198","$10,638,746"
23,23,2005,Magnificent Desolation,"$39,846,896","$34,126,126","$5,720,770"
24,24,2003,Winged Migration,"$39,134,983","$11,689,053","$27,445,930"
25,25,2012,Chimpanzee,"$36,834,823","$28,965,459","$7,869,364"
26,26,2011,Born to be Wild 3D,"$36,602,059","$25,932,762","$10,669,297"
27,27,2007,Sicko,"$36,535,837","$24,538,513","$11,997,324"
28,28,1970,Woodstock,"$34,698,275","$34,505,110","$193,165"
29,29,2014,"My Love, Don't Cross That River","$34,100,278","$88,018","$34,012,260"
30,30,2012,2016: Obamaâs America,"$33,349,941","$33,349,941",
31,31,2005,Wild Safari 3D,"$32,446,750","$16,621,230","$15,825,520"
32,32,2013,Justin Bieberâs Believe,"$32,226,781","$6,206,566","$26,020,215"
33,33,1997,Thrill Ride: The Science of Fun,"$31,279,211","$18,798,682","$12,480,529"
34,34,2003,Bugs! (IMAX),"$29,196,944","$19,084,280","$10,112,664"
35,35,2003,Ghosts of the Abyss,"$28,742,313","$17,093,668","$11,648,645"
36,36,2018,Free Solo,"$28,611,090","$17,541,090","$11,070,000"
37,37,1999,Galapagos,"$27,089,842","$18,571,938","$8,517,904"
38,38,2003,Ocean Wonderland,"$25,977,417",,"$25,977,417"
39,39,1999,Extreme,"$25,956,582","$12,456,958","$13,499,624"
40,40,1974,Erinnerungen an die Zukunft,"$25,900,000","$25,900,000",
41,41,2017,Twenty-Two,"$25,733,825","$22,222","$25,711,603"
42,42,2016,Born in China,"$25,037,743","$13,873,211","$11,164,532"
43,43,2011,Pina,"$24,460,758","$3,520,458","$20,940,300"
44,44,2002,Adrenaline Rush: The Science of Risk,"$23,970,431","$16,933,791","$7,036,640"
45,45,1978,Beyond and Back,"$23,800,000","$23,800,000",
46,46,2015,Amy,"$23,778,585","$8,413,144","$15,365,441"
47,47,2011,African Cats,"$22,946,607","$15,428,747","$7,517,860"
48,48,2018,Wonât You Be My Neighbor?,"$22,847,638","$22,835,787","$11,851"
49,49,2004,Super Size Me,"$22,233,808","$11,529,368","$10,704,440"
50,50,2004,NASCAR: The IMAX Experience,"$22,199,356","$21,550,235","$649,121"
51,51,2003,To Be and To Have,"$22,176,599","$7,610,471","$14,566,128"
52,52,2018,They Shall Not Grow Old,"$20,339,873","$17,956,913","$2,382,960"
53,53,1999,Buena Vista Social Club,"$19,809,190","$6,997,620","$12,811,570"
54,54,2001,Shackleton's Antarctic Adventure,"$19,667,161","$15,553,324","$4,113,837"
55,55,2004,Deep Blue,"$19,332,261","$132,261","$19,200,000"
56,56,2009,Capitalism: A Love Story,"$19,121,531","$14,363,397","$4,758,134"
57,57,2012,To the Arctic 3D,"$19,076,880","$14,555,206","$4,521,674"
58,58,2000,Michael Jordan to the MAX,"$18,642,318","$18,642,318",
59,59,2014,Bears,"$18,151,746","$17,780,194","$371,552"
60,60,2008,Dolphins and Whales Tribes of the Ocean 3D,"$17,252,287","$7,714,996","$9,537,291"
61,61,2015,Monkey Kingdom,"$17,159,530","$16,432,322","$727,208"
62,62,2010,Sea Rex 3D: Journey to a Prehistoric World,"$16,515,203","$6,096,582","$10,418,621"
63,63,2008,Shine a Light,"$16,173,879","$5,505,267","$10,668,612"
64,64,2016,Kang rinpoche,"$15,441,189","$28,184","$15,413,005"
65,65,2004,Touching the Void,"$15,396,525","$4,593,598","$10,802,927"
66,66,2002,Pulse: A Stomp Odyssey,"$15,384,390","$10,086,514","$5,297,876"
67,67,2011,Red Dog,"$14,769,623",,"$14,769,623"
68,68,2006,Deutschland: Ein Sommermarchen,"$14,700,000",,"$14,700,000"
69,69,2012,Marina Abramovic: The Artist Is Present,"$14,663,001","$86,637","$14,576,364"
70,70,2014,The Salt of the Earth,"$14,543,275","$1,343,349","$13,199,926"
71,71,2014,America: Imagine a World Without Her,"$14,444,502","$14,444,502",
72,72,2018,RBG,"$14,417,034","$14,051,361","$365,673"
73,73,2005,Sharks 3D,"$14,000,000","$8,500,000","$5,500,000"
74,74,2008,Waltz with Bashir,"$13,912,289","$2,283,849","$11,628,440"
75,75,2008,Religulous,"$13,881,317","$13,011,160","$870,157"
76,76,2018,Io sono Tempesta,"$13,748,817",,"$13,748,817"
77,77,2011,Plastic Planet,"$13,568,699","$3,164","$13,565,535"
78,78,2017,Nomoohyeonibnida,"$13,502,122",,"$13,502,122"
79,79,1998,Africa's Elephant Kingdom,"$13,485,455","$13,485,455",
80,80,2018,Three Identical Strangers,"$13,367,948","$12,320,845","$1,047,103"
81,81,2016,Hillaryâs America: The Secret History of the De…,"$13,099,931","$13,099,931",
82,82,2019,Bring the Soul: The Movie,"$12,991,381","$4,809,800","$8,181,581"
83,83,2012,Searching for Sugar Man,"$12,913,491","$3,965,090","$8,948,401"
84,84,2005,Aliens of the Deep,"$12,765,684","$8,968,684","$3,797,000"
85,85,2017,Earth: One Amazing Day,"$12,197,853","$81,345","$12,116,508"
86,86,2010,Babies,"$12,146,819","$7,320,323","$4,826,496"
87,87,2006,Dave Chappelle's Block Party,"$12,051,924","$11,718,595","$333,329"
88,88,2019,Apollo 11,"$11,971,691","$9,040,224","$2,931,467"
89,89,1994,Hoop Dreams,"$11,768,371","$7,768,371","$4,000,000"
90,90,2004,What the #$'! Do We Know,"$11,704,768","$10,941,801","$762,967"
91,91,2014,Island of Lemurs: Madagascar,"$11,689,591","$11,269,741","$419,850"
92,92,1955,Galapagos,"$11,500,000","$11,500,000",
93,93,2006,Roving Mars,"$11,248,978","$10,407,978","$841,000"
94,94,2015,Taxi,"$11,234,947","$321,642","$10,913,305"
95,95,2016,Les Saisons,"$11,053,655","$150,092","$10,903,563"
96,96,2011,Senna,"$10,924,647","$1,612,430","$9,312,217"
97,97,2011,Flying Monsters 3D,"$10,894,223","$5,751,141","$5,143,082"
98,98,1999,Island of the Sharks,"$10,658,756","$10,658,756",
99,99,2016,The Beatles: Eight Days a Week,"$10,212,173","$2,934,445","$7,277,728"
100,100,2013,Jerusalem,"$9,681,975","$8,020,721","$1,661,254"
101,,,,,,
102,101,2017,I Am Not Your Negro,"$9,617,402","$7,123,919","$2,493,483"
103,102,2005,Mad Hot Ballroom,"$9,387,581","$8,117,961","$1,269,620"
104,103,2011,Cave of Forgotten Dreams,"$9,369,629","$5,304,920","$4,064,709"
105,104,1979,Dirt,"$9,200,000","$9,200,000",
106,105,2017,La promesse de l'aube,"$9,181,824",,"$9,181,824"
107,106,2016,Nanimono,"$8,577,483",,"$8,577,483"
108,107,2018,Pope FrancisâA Man of His Word,"$8,505,755","$2,008,385","$6,497,370"
109,108,2004,Yves St. Laurent,"$8,360,096","$97,092","$8,263,004"
110,109,2015,Demain,"$8,338,539","$43,471","$8,295,068"
111,110,2016,A Beautiful Planet,"$8,325,995","$7,895,708","$430,287"
112,111,2012,More Than Honey,"$8,244,071","$78,324","$8,165,747"
113,112,2019,Pavarotti,"$8,197,462","$4,686,402","$3,511,060"
114,113,2019,Di jiu tian chang,"$8,091,941",,"$8,091,941"
115,114,2003,Tupac Resurrection,"$7,808,524","$7,718,961","$89,563"
116,115,2018,Pandas,"$7,807,825","$7,574,012","$233,813"
117,116,2010,Inside Job,"$7,799,257","$4,311,834","$3,487,423"
118,117,2008,Expelled: No Intelligence Allowed,"$7,720,487","$7,720,487",
119,118,2019,Penguins,"$7,699,452","$7,699,452",
120,119,2008,Young @ Heart,"$7,649,255","$3,992,189","$3,657,066"
121,120,2003,Spellbound,"$7,457,710","$5,728,581","$1,729,129"
122,121,2019,Amazing Grace,"$7,294,093","$4,450,454","$2,843,639"
123,122,2013,Journey to the South Pacific,"$7,144,210","$7,144,210",
124,123,2010,Exit Through the Gift Shop,"$7,132,689","$3,291,250","$3,841,439"
125,124,2009,The September Issue,"$7,081,682","$3,820,700","$3,260,982"
126,125,1996,Microcosmos,"$6,973,842","$1,573,842","$5,400,000"
127,126,2020,Beureikeu deo sa illeonseu,"$6,804,258","$1,000,000","$5,804,258"
128,127,1989,Roger & Me,"$6,706,368","$6,706,368",
129,128,2018,Fahrenheit 11/9,"$6,653,715","$6,352,306","$301,409"
130,129,2017,Sachin,"$6,630,190",,"$6,630,190"
131,130,2020,After Truth: Disinformation and the Cost of Fak…,"$6,455,717",,"$6,455,717"
132,131,2010,Waiting for Superman,"$6,446,066","$6,417,135","$28,931"
133,132,2018,Loro 1,"$6,327,190","$35,613","$6,291,577"
134,133,2014,CitizenFour,"$6,202,768","$2,800,870","$3,401,898"
135,134,2014,Meet the Mormons,"$6,049,171","$6,047,363","$1,808"
136,135,2012,Samsara,"$5,966,671","$2,672,413","$3,294,258"
137,136,2013,20 Feet From Stardom,"$5,892,466","$4,946,250","$946,216"
138,137,2018,Death of a Nation,"$5,885,881","$5,885,881",
139,138,2017,An Inconvenient Sequel,"$5,839,322","$3,496,795","$2,342,527"
140,139,2016,The Eagle Huntress,"$5,631,241","$3,168,664","$2,462,577"
141,140,2008,Man on Wire,"$5,617,067","$2,962,242","$2,654,825"
142,141,1999,Wolves,"$5,361,306","$5,361,306",
143,142,2012,Marley,"$5,319,734","$1,413,480","$3,906,254"
144,143,2019,The Biggest Little Farm,"$5,293,304","$4,367,816","$925,488"
145,144,2003,The Fog of War,"$5,233,915","$4,198,566","$1,035,349"
146,145,1999,Siegfried & Roy: Masters of the Impossible,"$5,231,283","$5,231,283",
147,146,2016,Born in the Exile: Sandaime J Soul Brothers no …,"$5,181,032",,"$5,181,032"
148,147,2010,The Wildest Dream,"$5,100,135","$5,100,135",
149,148,2005,Enron: The Smartest Guys in the Room,"$4,907,779","$4,071,700","$836,079"
150,149,2017,Return to the Wolves,"$4,886,088",,"$4,886,088"
151,150,2005,Rize,"$4,857,731","$3,278,611","$1,579,120"
152,151,2004,The Corporation,"$4,843,572","$3,493,516","$1,350,056"
153,152,2017,KEDi,"$4,797,784","$2,834,262","$1,963,522"
154,153,2009,"Food, Inc.","$4,731,944","$4,417,674","$314,270"
155,154,2018,Whitney,"$4,703,709","$3,026,558","$1,677,151"
156,155,1996,When We Were Kings,"$4,647,606","$2,666,118","$1,981,488"
157,156,2016,Where to Invade Next,"$4,604,687","$3,827,261","$777,426"
158,157,2011,Buck,"$4,523,972","$4,036,175","$487,797"
159,158,2005,Grizzly Man,"$4,504,451","$3,178,403","$1,326,048"
160,159,2003,Capturing the Friedmans,"$4,409,434","$3,117,985","$1,291,449"
161,160,2015,He Named Me Malala,"$4,334,216","$2,668,936","$1,665,280"
162,161,2019,Linda Ronstadt: The Sound of My Voice,"$4,252,657","$4,252,657",
163,162,2009,Good Hair,"$4,222,942","$4,157,223","$65,719"
164,163,2008,Beastie Boys,"$4,205,499",,"$4,205,499"
165,164,2002,ESPN's Ultimate X - The Movie,"$4,197,175","$4,197,175",
166,165,2003,The Real Cancun,"$4,188,034","$3,816,594","$371,440"
167,166,2012,Nitro Circus: The Movie 3D,"$4,182,062","$3,377,000","$805,062"
168,167,2017,Visages villages,"$4,015,686","$952,432","$3,063,254"
169,168,2003,Step Into Liquid,"$3,975,542","$3,681,803","$293,739"
170,169,2018,"Geunal, bada","$3,972,816",,"$3,972,816"
171,170,2004,The Story of the Weeping Camel,"$3,966,448","$1,751,698","$2,214,750"
172,171,2017,Django,"$3,847,465","$56,556","$3,790,909"
173,172,2010,Catfish,"$3,798,734","$3,237,343","$561,391"
174,173,2016,Merci Patron!,"$3,770,001",,"$3,770,001"
175,174,1988,Imagine: John Lennon,"$3,753,977","$3,753,977",
176,175,2004,Born Into Brothels: Calcutta's Red Light Kids,"$3,735,969","$3,430,117","$305,852"
177,176,2003,My Architect,"$3,623,958","$2,822,522","$801,436"
178,177,1999,Genghis Blues,"$3,599,174","$3,599,174",
179,178,2014,Finding Vivian Maier,"$3,596,550","$1,509,131","$2,087,419"
180,179,2019,Western Stars,"$3,581,681","$1,581,681","$2,000,000"
181,180,1979,The Glacier Fox,"$3,500,000","$3,500,000",
182,181,2012,Bully,"$3,483,795","$3,483,795",
183,182,2019,Maiden,"$3,456,725","$3,162,490","$294,235"
184,183,2002,Rivers and Tides,"$3,368,550","$2,200,276","$1,168,274"
185,184,2019,Echo in the Canyon,"$3,355,266","$3,355,266",
186,185,1999,Fifty,"$3,328,240","$3,328,240",
187,186,2004,Riding Giants,"$3,292,333","$2,276,368","$1,015,965"
188,187,2012,The Imposter,"$3,232,717","$901,954","$2,330,763"
189,188,2005,The Wild Parrots of Telegraph Hill,"$3,218,709","$3,058,527","$160,182"
190,189,2006,Wordplay,"$3,177,636","$3,121,270","$56,366"
191,190,2000,Ride,"$3,176,650","$3,176,650",
192,191,2016,We are X,"$3,132,486","$45,270","$3,087,216"
193,192,2018,Nothing Like a Dame,"$3,114,190","$889,343","$2,224,847"
194,193,1995,Crumb,"$3,060,660","$3,041,083","$19,577"
195,194,2012,Stories We Tell,"$3,043,717","$1,602,160","$1,441,557"
196,195,1998,Mark Twain's America 3D,"$2,992,106","$2,992,106",
197,196,2010,Joan Rivers: A Piece of Work,"$2,930,687","$2,930,687",
198,197,2018,The Hidden Land: Back To No Man's Land In North…,"$2,890,000",,"$2,890,000"
199,198,2020,V sÃ­ti,"$2,847,088",,"$2,847,088"
200,199,2010,When You're Strange: A Film About The Doors,"$2,843,800","$246,078","$2,597,722"
201,200,1995,Unzipped,"$2,833,010","$2,833,010",
202,,,,,,
203,201,2005,Mondovino,"$2,806,533","$209,618","$2,596,915"
204,202,2017,Maria by Callas,"$2,795,383","$1,264,409","$1,530,974"
205,203,2012,Jiro Dreams of Sushi,"$2,790,035","$2,552,478","$237,557"
206,204,2009,Every Little Step,"$2,769,763","$1,725,141","$1,044,622"
207,205,1998,Freeriders,"$2,750,064","$2,750,064",
208,206,2002,Comedian,"$2,744,253","$2,744,253",
209,207,2020,Das geheime Leben der BÃ¤ume,"$2,737,511",,"$2,737,511"
210,208,2004,Control Room,"$2,724,826","$2,589,616","$135,210"
211,209,1995,The Show,"$2,702,000","$2,702,000",
212,210,2016,Hillsong: Let Hope Rise,"$2,678,525","$2,394,725","$283,800"
213,211,2018,McQueen,"$2,652,935","$1,257,275","$1,395,660"
214,212,2013,The Gatekeepers,"$2,592,308","$2,408,553","$183,755"
215,213,2019,Diego Maradona,"$2,589,090",,"$2,589,090"
216,214,2017,Is Genesis History?,"$2,570,355","$2,570,355",
217,215,2012,The Queen of Versailles,"$2,505,100","$2,401,999","$103,101"
218,216,2015,Iris,"$2,493,802","$1,310,678","$1,183,124"
219,217,2001,The Endurance: Shackleton's Legendary Antarctic…,"$2,452,566","$2,452,566",
220,218,2003,Lost in La Mancha,"$2,440,345","$734,514","$1,705,831"
221,219,2015,Janis: Little Girl Blue,"$2,404,466","$410,465","$1,994,001"
222,220,1999,Wildfire: Feel The Heat,"$2,378,388","$2,378,388",
223,221,2016,My Scientology Movie,"$2,367,220","$22,936","$2,344,284"
224,222,2013,Blackfish,"$2,354,875","$2,073,582","$281,293"
225,223,2015,Meru,"$2,350,820","$2,334,228","$16,592"
226,224,2015,Dior and I,"$2,338,242","$1,028,953","$1,309,289"
227,225,2011,TT3D: Closer to the Edge,"$2,322,286",,"$2,322,286"
228,226,1997,Snowriders 2,"$2,287,639","$2,287,639",
229,227,2003,DysFunkTional Family,"$2,255,000","$2,255,000",
230,228,2011,Bill Cunningham New York,"$2,254,254","$1,510,026","$744,228"
231,229,2017,L'Empereur,"$2,234,915",,"$2,234,915"
232,230,2017,Disneynature: Blue,"$2,231,198",,"$2,231,198"
233,231,2004,Metallica: Some Kind of Monster,"$2,223,844","$1,222,708","$1,001,136"
234,232,2009,Valentino: The Last Emperor,"$2,204,738","$1,755,134","$449,604"
235,233,2015,Roger Waters the Wall,"$2,179,727",,"$2,179,727"
236,234,2007,In the Shadow of the Moon,"$2,175,587","$1,134,358","$1,041,229"
237,235,2015,"Boca Juniors 3D, la pelÃ­cula","$2,171,383",,"$2,171,383"
238,236,1994,The Endless Summer 2,"$2,155,385","$2,155,385",
239,237,2007,Dinosaurs: Giants of Patagonia,"$2,130,465",,"$2,130,465"
240,238,2008,The Meerkats,"$2,100,000",,"$2,100,000"
241,239,1982,It Came From Hollywood,"$2,091,037","$2,091,037",
242,240,2014,Awake: The Life of Yogananda,"$2,083,186","$1,511,750","$571,436"
243,241,2002,Ayurveda: Art of Being,"$2,066,892","$16,892","$2,050,000"
244,242,2015,Jag Ã¤r Ingrid,"$2,056,549","$138,148","$1,918,401"
245,243,1999,Beyond the Mat,"$2,047,570","$2,047,570",
246,244,1996,Snowriders,"$2,035,470","$2,035,470",
247,245,2006,Shut Up and Sing,"$2,000,043","$1,215,045","$784,998"
248,246,2016,Masaryk,"$1,999,760",,"$1,999,760"
249,247,2019,Marianne & Leonard: Words of Love,"$1,998,675","$1,013,820","$984,855"
250,248,2018,AÃ¯lo: Une odyssÃ©e en Laponie,"$1,988,335",,"$1,988,335"
251,249,2014,"20,000 Days on Earth","$1,980,839","$279,558","$1,701,281"
252,250,1995,Endless Winter,"$1,966,454","$1,966,454",
253,251,2015,Kurt Cobain: Montage Of Heck,"$1,960,196","$140,208","$1,819,988"
254,252,2015,Xuan feng jiu ri,"$1,960,000",,"$1,960,000"
255,253,1999,The Source,"$1,956,822","$362,357","$1,594,465"
256,254,2017,Jane,"$1,956,083","$1,723,379","$232,704"
257,255,2006,Why We Fight,"$1,880,863","$1,880,863",
258,256,2016,La Danseuse,"$1,872,314",,"$1,872,314"
259,257,2017,Gongbeom Jadeul,"$1,870,581",,"$1,870,581"
260,258,2006,Who Killed the Electric Car?,"$1,849,392","$1,678,874","$170,518"
261,259,2001,Startup.com,"$1,827,627","$1,280,975","$546,652"
262,260,2018,The Taste of Apple,"$1,799,319",,"$1,799,319"
263,261,2017,Human Flow,"$1,782,002","$527,845","$1,254,157"
264,262,2019,Lev Yashin. Vratar moey mechty,"$1,778,723",,"$1,778,723"
265,263,2005,Murderball,"$1,772,979","$1,531,154","$241,825"
266,264,2019,Chiara Ferragni - Unposted,"$1,770,900",,"$1,770,900"
267,265,2016,Weiner,"$1,751,120","$1,675,196","$75,924"
268,266,2015,So-syeol-po-bi-a,"$1,750,719",,"$1,750,719"
269,267,2014,Tim's Vermeer,"$1,724,484","$1,670,806","$53,678"
270,268,2018,Animal,"$1,722,185",,"$1,722,185"
271,269,2007,Sharkwater,"$1,720,833","$850,920","$869,913"
272,270,2000,The Life and Times of Hank Greenberg,"$1,703,901","$1,703,901",
273,271,2015,Meet the Patels,"$1,700,680","$1,700,680",
274,272,2002,The Kid Stays in the Picture,"$1,699,809","$1,434,436","$265,373"
275,273,2002,Standing in the Shadows of Motown,"$1,693,676","$1,615,732","$77,944"
276,274,2019,Lourdes,"$1,676,475",,"$1,676,475"
277,275,1985,Bring on the Night,"$1,675,689","$1,675,689",
278,276,2019,Fantastic Fungi,"$1,675,322","$1,573,734","$101,588"
279,277,2015,The Wolfpack,"$1,632,774","$1,301,696","$331,078"
280,278,2018,The Dawn Wall,"$1,631,682","$1,037,023","$594,659"
281,279,1994,Vertical Reality,"$1,619,747","$1,619,747",
282,280,2014,National Gallery,"$1,611,769","$253,941","$1,357,828"
283,281,2015,Noma: My Perfect Storm,"$1,611,738","$21,130","$1,590,608"
284,282,2016,Embrace,"$1,611,592","$412,340","$1,199,252"
285,283,2009,It Might Get Loud,"$1,610,163","$1,610,163",
286,284,2002,Dogtown and Z-Boys,"$1,600,566","$1,293,295","$307,271"
