,Rank_MOJO_by_Box_office,Title,Lifetime_Gross_MOJO,Max_Theaters,Opening_Box,Opening_Th,Distributor,User_Rating_IMDB,Metacritic,Number_of_votes_IMDB,Running_Time,Director,Release_Difference
174,220,Encounters at the End of the World,944933,39.0,17730.0,1.0,THINKFilm,7.7,80.0,16938,1h 39min,Werner Herzog,9924.0
175,221,American Teen,942441,109.0,45589.0,5.0,Paramount Vantage,6.4,66.0,4066,1h 35min,Nanette Burstein,9968.0
176,222,Dark Horse,940715,74.0,13838.0,3.0,Sony Pictures Classics,7.3,75.0,978,1h 25min,Louise Osmond,12810.0
177,223,Patterns of Evidence: Exodus,925576,652.0,764309.0,652.0,Thinking Man Films,7.2,,996,1h 55min,Tim Mahoney,12337.0
178,224,35 Up,922872,21.0,13690.0,1.0,The Samuel Goldwyn Company,8.2,,2282,2h 3min,Michael Apted,3932.0
179,228,Jesus Camp,902544,52.0,17659.0,13.0,Magnolia Pictures,7.4,62.0,26176,1h 27min,Heidi Ewing,9289.0
180,229,The War Room,901668,21.0,15264.0,1.0,October Films,7.3,78.0,3786,1h 36min,Chris Hegedus,4590.0
181,230,The Imposter,898317,31.0,22379.0,1.0,-,7.5,77.0,44629,1h 39min,Bart Layton,11417.0
182,231,The Wildest Dream,898137,21.0,67848.0,12.0,National Geographic Entertainment,7.3,,2347,1h 34min,Anthony Geffen,10710.0
183,233,Tea With the Dames,889343,71.0,14777.0,1.0,IFC Films,7.3,85.0,1810,1h 24min,Roger Michell,13678.0
184,234,Tyson,887918,56.0,85046.0,11.0,Sony Pictures Classics,7.5,83.0,12098,1h 30min,James Toback,10241.0
185,235,"Fast, Cheap & Out of Control",878960,40.0,23665.0,2.0,Sony Pictures Classics,7.2,,3599,1h 20min,Errol Morris,6020.0
186,237,Particle Fever,869838,27.0,53901.0,4.0,Abramorama,7.4,87.0,7134,1h 39min,Mark Levinson,12017.0
187,238,The Cove,857005,56.0,57640.0,4.0,Roadside Attractions,8.4,84.0,46897,1h 32min,Louie Psihoyos,10339.0
188,240,Sharkwater,850920,60.0,37140.0,60.0,Freestyle Releasing,8.0,,4759,1h 29min,Rob Stewart,9667.0
189,241,Generation Iron,849521,84.0,245000.0,53.0,The Vladar Company,7.1,61.0,7531,1h 46min,Vlad Yudin,11851.0
190,242,Arctic Tale,833532,227.0,22607.0,4.0,Paramount Vantage,7.0,64.0,1770,1h 36min,Adam Ravetch,9602.0
191,243,I.O.U.S.A.,821046,358.0,61313.0,18.0,Roadside Attractions,7.5,70.0,1822,1h 25min,Patrick Creadon,9996.0
192,244,Bombshell: The Hedy Lamarr Story,820300,36.0,8000.0,1.0,Zeitgeist Films,7.4,70.0,3225,1h 28min,Alexandra Dean,13377.0
193,246,Honeyland,815082,56.0,31381.0,2.0,Neon,8.0,86.0,12477,1h 29min,Tamara Kotevska,13986.0
194,247,Life Itself,810454,100.0,131411.0,23.0,Magnolia Pictures,7.8,87.0,14711,2h 1min,Steve James,12138.0
195,249,The Tillman Story,802535,28.0,52185.0,4.0,The Weinstein Company,7.7,86.0,4514,1h 34min,Amir Bar-Lev,10724.0
196,250,Visions of Light,799856,13.0,27761.0,2.0,Kino International,7.7,,3006,1h 32min,Arnold Glassman,4338.0
197,253,Up the Yangtze,783969,23.0,15851.0,1.0,Zeitgeist Films,7.5,84.0,1775,1h 33min,Yung Chang,9877.0
198,256,To Be and to Have,777129,14.0,20528.0,3.0,New Yorker Films,7.8,87.0,7717,1h 44min,Nicolas Philibert,8197.0
199,259,For All Mankind,770132,9.0,33777.0,6.0,Apollo Associates,8.2,79.0,4998,1h 20min,Al Reinert,3127.0
200,261,First Descent,750805,243.0,438615.0,243.0,Universal Pictures,7.1,,1054,1h 50min,Kemp Curly,9002.0
201,262,Seymour: An Introduction,743541,64.0,26587.0,2.0,IFC Films,7.4,83.0,1001,1h 24min,Ethan Hawke,12390.0
202,264,The Game Changers,739711,610.0,,,Fathom Events,7.9,,14830,1h 26min,Louie Psihoyos,14038.0
203,265,Forks Over Knives,739561,39.0,17645.0,1.0,-,7.7,,11545,1h 30min,Lee Fulkerson,10864.0
204,267,Lost in La Mancha,732393,24.0,63303.0,8.0,IFC Films,7.3,74.0,11122,1h 29min,Keith Fulton,7966.0
205,270,The Big One,720074,53.0,146909.0,33.0,Miramax,7.0,,7647,1h 31min,Michael Moore,6209.0
206,273,The 11th Hour,707343,111.0,60853.0,4.0,Warner Independent Pictures (WIP),7.3,63.0,5543,1h 35min,Leila Conners,9625.0
207,275,Cartel Land,704352,65.0,15581.0,2.0,The Orchard,7.4,76.0,17671,1h 40min,Matthew Heineman,12502.0
208,277,Tabloid,696921,37.0,91201.0,14.0,IFC Films,7.0,74.0,6571,1h 27min,Errol Morris,11053.0
209,278,Muscle Shoals,696241,56.0,13901.0,1.0,Magnolia Pictures,7.7,75.0,3453,1h 51min,Greg 'Freddy' Camalier,11858.0
210,279,Red Army,694600,84.0,20100.0,3.0,Sony Pictures Classics,7.6,83.0,6553,1h 24min,Gabe Polsky,12341.0
211,281,Chris Brown: Welcome To My Life,693984,413.0,,,Fathom Events,5.7,,1007,1h 20min,Andrew Sandler,13208.0
212,282,Inside Deep Throat,691880,27.0,88709.0,12.0,Universal Pictures,6.7,64.0,6445,1h 29min,Fenton Bailey,8708.0
213,285,The King of Kong: A Fistful of Quarters,677914,58.0,51493.0,5.0,Picturehouse,8.1,83.0,34450,1h 19min,Seth Gordon,9625.0
214,286,Kurt & Courtney,668228,12.0,16835.0,1.0,Roxie Releasing,6.1,,6843,1h 35min,Nick Broomfield,6167.0
215,287,Anvil: The Story of Anvil,667911,27.0,34651.0,3.0,Abramorama,7.9,82.0,15462,1h 20min,Sacha Gervasi,10227.0
216,288,Jodorowsky's Dune,647280,61.0,36018.0,3.0,Sony Pictures Classics,8.1,79.0,21327,1h 30min,Frank Pavich,12033.0
217,290,City of Gold,640979,50.0,62959.0,4.0,IFC Films,7.2,72.0,914,1h 36min,Laura Gabbert,12754.0
218,291,Dust to Glory,640013,80.0,15757.0,2.0,IFC Films,7.5,61.0,928,1h 37min,Dana Brown,8757.0
219,292,The Greatest Movie Ever Sold,638476,141.0,118294.0,18.0,Sony Pictures Classics,6.6,66.0,14536,1h 30min,Morgan Spurlock,10969.0
220,293,The Last Lions,635325,61.0,53344.0,4.0,National Geographic Entertainment,8.3,69.0,3991,1h 28min,Dereck Joubert,10906.0
221,296,"Love, Gilda",626318,112.0,189639.0,82.0,Magnolia Pictures,7.4,74.0,1320,1h 28min,Lisa D'Apolito,13678.0
222,299,Tickled,613956,53.0,21898.0,2.0,Magnolia Pictures,7.6,76.0,16063,1h 32min,David Farrier,12852.0
223,301,The Filth and the Fury,612192,29.0,13305.0,1.0,Fine Line Features,7.7,82.0,5544,1h 48min,Julien Temple,6928.0
224,302,Gunner Palace,607844,56.0,63520.0,8.0,Palm Pictures,6.6,70.0,1884,1h 25min,Petra Epperlein,8729.0
225,304,Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,603894,962.0,464170.0,962.0,Picturehouse,6.2,,1567,1h 40min,Ari Sandel,9800.0
226,306,Lo and Behold: Reveries of the Connected World,594912,51.0,114273.0,39.0,Magnolia Pictures,7.0,76.0,11745,1h 38min,Werner Herzog,12915.0
227,307,Tarnation,592014,22.0,12740.0,1.0,Wellspring Media,7.1,87.0,6314,1h 28min,Jonathan Caouette,8580.0
228,309,Powaqqatsi,589244,22.0,27899.0,1.0,Cannon Film Distributors,7.3,,7678,1h 39min,Godfrey Reggio,2576.0
229,310,Elvis on Tour,587818,,,,Warner Bros.,7.6,,1340,1h 33min,Robert Abel,10702.0
230,311,Gleason,583664,148.0,91583.0,9.0,Open Road Films (II),8.4,80.0,2524,1h 50min,Clay Tweel,12894.0
231,312,Salinger,583633,138.0,86956.0,4.0,The Weinstein Company,6.7,,2425,2h,Shane Salerno,11837.0
232,313,Pick of the Litter,578717,60.0,16519.0,2.0,IFC Films,7.6,64.0,1131,1h 20min,Don Hardy,13657.0
233,316,The Weather Underground,564632,14.0,13984.0,1.0,Shadow Distribution,7.4,77.0,3411,1h 32min,Sam Green,8090.0
234,317,Hands on a Hardbody: The Documentary,563482,6.0,7607.0,1.0,Providence Entertainment,7.6,82.0,1738,1h 38min,S.R. Bindler,6300.0
235,318,Undefeated,562218,21.0,33165.0,5.0,The Weinstein Company,7.7,71.0,6709,1h 53min,Daniel Lindsay,11270.0
236,322,The Art of the Steal,544890,34.0,39019.0,3.0,IFC Films,7.6,75.0,2231,1h 41min,Don Argott,10549.0
237,325,Incident at Oglala,536848,12.0,19070.0,3.0,Miramax,7.5,,1034,1h 29min,Michael Apted,4046.0
238,326,Ai Weiwei: Never Sorry,534100,37.0,41104.0,5.0,IFC Films,7.6,81.0,4181,1h 31min,Alison Klayman,11431.0
239,327,Wild Man Blues,533759,25.0,54458.0,3.0,New Line Cinema,6.9,,2133,1h 45min,Barbara Kopple,6216.0
240,329,Human Flow,527845,36.0,45677.0,3.0,Magnolia Pictures,7.0,77.0,2351,2h 20min,Weiwei Ai,13335.0
241,330,The First Monday in May,527474,45.0,99242.0,20.0,Magnolia Pictures,7.2,,1453,1h 30min,Andrew Rossi,12789.0
242,332,Trouble the Water,520151,15.0,28606.0,3.0,Zeitgeist Films,7.3,83.0,1913,1h 33min,Carl Deal,9996.0
243,334,"Thelonious Monk: Straight, No Chaser",518918,11.0,31842.0,2.0,Warner Bros.,7.6,,1052,1h 30min,Charlotte Zwerin,3096.0
244,336,The Black Panthers: Vanguard of the Revolution,516893,12.0,20215.0,1.0,PBS Distribution,7.3,79.0,1805,1h 55min,Stanley Nelson,12563.0
245,337,The Trials of Henry Kissinger,516726,8.0,14667.0,1.0,First Run,7.6,72.0,1916,1h 20min,Eugene Jarecki,7838.0
246,338,Shut Up and Play the Hits,510334,161.0,,,Oscilloscope,7.4,72.0,2610,1h 48min,Will Lovelace,11422.0
247,339,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",507941,28.0,24125.0,3.0,Lionsgate,7.5,78.0,5293,1h 31min,Errol Morris,6837.0
248,343,Steve Jobs: The Man in the Machine,494506,68.0,140064.0,68.0,Magnolia Pictures,6.9,72.0,5754,2h 8min,Alex Gibney,12565.0
249,344,The Act of Killing,486919,29.0,27450.0,1.0,Drafthouse Films,8.2,91.0,34501,1h 57min,Joshua Oppenheimer,11788.0
250,346,The Flat,471842,27.0,19916.0,3.0,IFC Films,6.9,83.0,1456,1h 37min,Arnon Goldfinger,11515.0
251,347,Pearl Jam Twenty,471334,60.0,102448.0,7.0,Abramorama,8.3,,7533,1h 49min,Cameron Crowe,11120.0
252,350,Last Days in Vietnam,466114,25.0,30500.0,2.0,American Experience Films,7.6,86.0,3676,1h 38min,Rory Kennedy,12201.0
253,351,Scotty and the Secret History of Hollywood,461689,34.0,28144.0,1.0,Greenwich Entertainment,6.6,67.0,1070,1h 38min,Matt Tyrnauer,13622.0
254,352,Outfoxed: Rupert Murdoch's War on Journalism,461572,18.0,77982.0,5.0,Cinema Libre Studio,7.5,,6076,1h 18min,Robert Greenwald,8519.0
255,353,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,453993,12.0,1114.0,1.0,First Run,7.7,75.0,2239,1h 32min,Judith Ehrlich,10521.0
256,355,I Am Trying to Break Your Heart,445522,13.0,10776.0,1.0,Cowboy Pictures,7.5,66.0,2008,1h 32min,Sam Jones,7777.0
257,358,Gimme Danger,440627,71.0,44725.0,3.0,Magnolia Pictures,7.2,72.0,4879,1h 48min,Jim Jarmusch,12985.0
258,362,I Want Your Money,433588,537.0,249428.0,537.0,Freestyle Releasing,4.7,,1259,1h 32min,Ray Griggs,10780.0
259,364,Listen to Me Marlon,425831,38.0,30068.0,2.0,-,8.2,87.0,6902,1h 43min,Stevan Riley,12528.0
260,365,Hail Satan?,424284,67.0,26496.0,3.0,Magnolia Pictures,7.3,76.0,5169,1h 35min,Penny Lane,13886.0
261,366,Sound City,422853,50.0,62842.0,16.0,Variance Films,7.8,76.0,12030,1h 47min,Dave Grohl,11620.0
262,367,She's Beautiful When She's Angry,421573,19.0,10505.0,1.0,International Film Circuit,7.8,80.0,1462,1h 32min,Mary Dore,12292.0
263,368,Porn Star: The Legend of Ron Jeremy,421516,7.0,23865.0,2.0,-,6.3,,2274,1h 17min,Scott J. Gill,7539.0
264,369,The Last Days,421432,32.0,20492.0,3.0,October Films,7.5,,1813,1h 27min,James Moll,6510.0
265,370,Heart of a Dog,420813,22.0,13893.0,1.0,Abramorama,7.1,84.0,2058,1h 15min,Laurie Anderson,12612.0
266,372,In the Realms of the Unreal,417120,13.0,15477.0,3.0,Wellspring Media,7.3,74.0,2063,1h 21min,Jessica Yu,8657.0
267,373,Project Nim,411184,22.0,25820.0,4.0,Roadside Attractions,7.4,83.0,8135,1h 33min,James Marsh,11046.0
268,374,Janis: Little Girl Blue,410465,26.0,21861.0,2.0,FilmRise,7.4,74.0,4908,1h 43min,Amy Berg,12649.0
269,375,Unbranded,410185,80.0,141416.0,80.0,Gravitas Ventures,7.4,64.0,1347,1h 46min,Phillip Baribeau,12586.0
270,376,Chasing Trane: The John Coltrane Documentary,406284,17.0,16626.0,1.0,Abramorama,7.3,,1987,1h 39min,John Scheinfeld,13153.0
271,377,The Hunting Ground,405917,25.0,22464.0,2.0,RADiUS-TWC,7.4,77.0,5829,1h 43min,Kirby Dick,12376.0
272,382,End of the Century,391950,10.0,18422.0,1.0,Magnolia Pictures,8.0,74.0,3509,1h 50min,Jim Fields,8533.0
273,383,Detropia,390024,24.0,17414.0,1.0,Loki Films,6.4,68.0,1542,1h 30min,Heidi Ewing,11473.0
274,385,Where in the World Is Osama Bin Laden?,384955,102.0,148698.0,102.0,The Weinstein Company,6.5,,5875,1h 30min,Morgan Spurlock,9870.0
275,386,Dirty Wars,384473,31.0,63504.0,4.0,IFC Films,7.5,76.0,8957,1h 27min,Rick Rowley,11746.0
276,387,The Armstrong Lie,383294,77.0,28992.0,5.0,Sony Pictures Classics,7.3,67.0,7181,2h 4min,Alex Gibney,11900.0
277,389,What We Left Behind: Star Trek DS9,382457,795.0,,,Fathom Events,8.4,,1184,1h 56min,Ira Steven Behr,13912.0
278,394,Grace Jones: Bloodlight and Bami,375208,36.0,56171.0,3.0,Kino Lorber,6.2,75.0,980,1h 55min,Sophie Fiennes,13517.0
279,395,Genghis Blues,374550,6.0,6524.0,1.0,Roxie Releasing,7.9,,1267,1h 28min,Roko Belic,6656.0
280,396,The Decline of Western Civilization Part II: The Metal Years,373743,21.0,45008.0,21.0,New Line Cinema,7.2,,3358,1h 33min,Penelope Spheeris,2611.0
281,400,Glen Campbell: I'll Be Me,365422,18.0,86741.0,10.0,Area 23a,8.0,79.0,1479,1h 56min,James Keach,12250.0
282,401,Mountain,365412,35.0,6067.0,1.0,Greenwich Entertainment,7.2,82.0,3625,1h 14min,Jennifer Peedom,13545.0
283,408,Long Strange Trip - The Untold Story of The Grateful Dead,351957,56.0,33272.0,56.0,Abramorama,8.2,78.0,1322,3h 58min,Amir Bar-Lev,13194.0
284,412,Happy People: A Year in the Taiga,338987,23.0,10481.0,1.0,Music Box Films,7.7,74.0,7624,1h 30min,Werner Herzog,11613.0
285,413,Kings of Pastry,336386,10.0,15162.0,2.0,First Run,6.9,69.0,1043,1h 27min,Chris Hegedus,10750.0
286,414,The Devil and Daniel Johnston,334450,17.0,23192.0,5.0,Sony Pictures Classics,7.9,77.0,9213,1h 50min,Jeff Feuerzeig,9121.0
287,415,Ballet 422,333554,27.0,27653.0,2.0,Magnolia Pictures,6.2,74.0,1100,1h 15min,Jody Lee Lipes,12355.0
288,417,The Central Park Five,325653,22.0,30570.0,3.0,IFC Films,7.7,79.0,6865,1h 59min,Ken Burns,11550.0
289,419,A Film Unfinished,320486,16.0,34060.0,4.0,Oscilloscope,7.4,88.0,1698,1h 28min,Yael Hersonski,10722.0
290,422,Bukowski: Born into This,318816,8.0,27095.0,5.0,Magnolia Pictures,7.9,77.0,3317,2h 10min,John Dullaghan,8449.0
291,423,Trekkies,318246,339.0,125636.0,339.0,Paramount Classics,6.9,64.0,4709,1h 26min,Roger Nygard,6615.0
292,428,Grass,313039,10.0,21578.0,2.0,-,7.2,64.0,3437,1h 20min,Ron Mann,6991.0
293,429,For the Bible Tells Me So,312751,15.0,7412.0,1.0,First Run,7.8,73.0,4321,1h 35min,Daniel G. Karslake,9674.0
294,430,The Hornet's Nest,312706,57.0,26550.0,4.0,Freestyle Releasing,6.7,61.0,2285,1h 33min,David Salzberg,12082.0
295,431,L'amour fou,312494,18.0,37250.0,2.0,IFC Films,6.8,63.0,962,1h 38min,Pierre Thoretton,10990.0
296,432,West of Memphis,310154,40.0,13360.0,5.0,Sony Pictures Classics,7.9,80.0,9719,2h 27min,Amy Berg,11582.0
297,434,The Panama Deception,309596,11.0,6563.0,1.0,Empowerment Project,7.6,,991,1h 31min,Barbara Trent,4130.0
298,435,Bigger Stronger Faster*,308575,26.0,31576.0,6.0,Magnolia Pictures,7.6,80.0,13042,1h 45min,Chris Bell,9912.0
299,436,Merchants of Doubt,308156,30.0,20300.0,4.0,Sony Pictures Classics,7.7,70.0,3571,1h 36min,Robert Kenner,12383.0
300,437,Aquarela,307346,69.0,24753.0,5.0,Sony Pictures Classics,6.6,80.0,1070,1h 30min,Viktor Kosakovskiy,14007.0
301,439,This Film Is Not Yet Rated,306845,18.0,30664.0,2.0,IFC Films,7.5,75.0,27228,1h 38min,Kirby Dick,9275.0
302,442,Being Elmo: A Puppeteer's Journey,304052,15.0,22963.0,1.0,Submarine Deluxe,7.6,71.0,6693,1h 20min,Constance Marks,11151.0
303,443,Linsanity,302645,16.0,99462.0,9.0,Ketchup Entertainment,7.3,,1885,1h 29min,Evan Jackson Leong,11865.0
304,444,God Grew Tired of Us,301447,10.0,21858.0,2.0,Newmarket Films,7.9,72.0,2726,1h 29min,Christopher Dillon Quinn,9408.0
305,445,Crazy Love,301027,38.0,17952.0,3.0,Magnolia Pictures,7.1,69.0,2376,1h 32min,Dan Klores,9548.0
306,446,42 Up,300880,5.0,11599.0,1.0,First Run,8.2,86.0,2380,2h 19min,Michael Apted,6795.0
307,448,Room 237,296359,28.0,29693.0,2.0,IFC Films,6.2,80.0,20729,1h 42min,Rodney Ascher,11676.0
308,451,Scratch,289885,7.0,,,Palm Pictures,7.9,77.0,2687,1h 32min,Doug Pray,7616.0
309,452,Antarctica: A Year on Ice,288757,30.0,32238.0,8.0,Music Box Films,7.6,69.0,3289,1h 31min,Anthony Powell,12285.0
310,455,Something from Nothing: The Art of Rap,288000,157.0,150337.0,157.0,-,7.2,66.0,3309,1h 46min,Ice-T,11389.0
311,456,American Pimp,287724,9.0,28699.0,5.0,Seventh Art Releasing,6.7,,2132,1h 27min,Albert Hughes,7000.0
312,457,Outrage,287198,18.0,32589.0,5.0,Magnolia Pictures,7.5,64.0,1579,1h 30min,Kirby Dick,10255.0
313,460,The Interrupters,282448,10.0,7920.0,1.0,The Cinema Guild,7.5,86.0,3420,2h 5min,Steve James,11067.0
314,463,American Hardcore,279665,19.0,18102.0,1.0,Sony Pictures Classics,7.4,69.0,3275,1h 40min,Paul Rachman,9296.0
315,464,"20,000 Days on Earth",279558,28.0,27879.0,1.0,Drafthouse Films,7.5,83.0,10786,1h 37min,Iain Forsyth,12213.0
316,465,The Unknown Known,276497,80.0,64315.0,18.0,RADiUS-TWC,7.0,69.0,3865,1h 43min,Errol Morris,12047.0
317,468,Taxi to the Dark Side,274661,20.0,10930.0,2.0,THINKFilm,7.4,82.0,14728,1h 46min,Alex Gibney,9779.0
318,469,Planet B-Boy,273870,14.0,27777.0,2.0,Elephant Eye Films,7.7,63.0,961,1h 35min,Benson Lee,9842.0
319,470,The Black Power Mixtape 1967-1975,273749,13.0,17316.0,2.0,IFC Films,7.6,73.0,2065,1h 40min,Göran Olsson,11109.0
320,473,Countdown to Zero,272040,28.0,41307.0,3.0,Magnolia Pictures,6.9,70.0,2151,1h 31min,Lucy Walker,10696.0
321,474,Deep Water,271143,17.0,22632.0,2.0,IFC Films,7.8,80.0,2932,1h 32min,Louise Osmond,9632.0
322,475,One Child Nation,270128,36.0,20523.0,2.0,Amazon Studios,7.5,85.0,4215,1h 28min,Nanfu Wang,14000.0
323,477,Surfwise,269994,13.0,10304.0,1.0,Magnolia Pictures,7.2,72.0,1431,1h 33min,Doug Pray,9891.0
324,481,Conan O'Brien Can't Stop,267965,24.0,97043.0,24.0,Abramorama,7.0,64.0,6020,1h 29min,Rodman Flender,11032.0
325,484,Life and Debt,263107,4.0,,,New Yorker Films,7.5,67.0,949,1h 20min,Stephanie Black,7372.0
326,485,Minimalism: A Documentary About the Important Things,261865,80.0,,,GathrFilms,6.7,,12883,1h 18min,Matt D'Avella,12828.0
327,489,Hitchcock/Truffaut,260430,23.0,28178.0,3.0,Cohen Media Group,7.4,79.0,5711,1h 19min,Kent Jones,12654.0
328,490,The King,259291,45.0,29050.0,2.0,Oscilloscope,6.6,70.0,941,1h 47min,Eugene Jarecki,13587.0
329,491,The Green Prince,258237,24.0,32698.0,4.0,Music Box Films,7.2,67.0,2563,1h 41min,Nadav Schirman,12208.0
330,492,Mayor of the Sunset Strip,257315,18.0,21722.0,7.0,First Look International,7.0,71.0,1460,1h 34min,George Hickenlooper,8386.0
331,494,Alive Inside: A Story of Music and Memory,256682,20.0,7200.0,1.0,Bond/360,8.2,67.0,2934,1h 18min,Michael Rossato-Bennett,12152.0
332,495,Jean-Michel Basquiat: The Radiant Child,256242,7.0,17466.0,1.0,Arthouse Films,7.8,74.0,2042,1h 28min,Tamra Davis,10694.0
333,496,"Life, Animated",255388,60.0,21883.0,3.0,The Orchard,7.5,75.0,5570,1h 32min,Roger Ross Williams,12866.0
334,497,The Yes Men,255364,32.0,24373.0,3.0,United Artists,6.9,68.0,5557,1h 23min,Dan Ollman,8568.0
335,499,The War Tapes,254190,9.0,12268.0,1.0,-,7.3,77.0,1213,1h 37min,Deborah Scranton,9184.0
336,500,National Gallery,253941,15.0,10049.0,1.0,Zipporah Films,7.3,89.0,1365,3h,Frederick Wiseman,12262.0
337,502,Life in a Day,252788,19.0,45202.0,11.0,National Geographic Entertainment,7.7,,14761,1h 35min,Loressa Clisby,11067.0
338,504,Meeting Gorbachev,251837,42.0,18128.0,2.0,1091 Media,7.2,73.0,1516,1h 30min,Werner Herzog,13902.0
339,506,Joe Strummer: The Future Is Unwritten,248362,17.0,20880.0,2.0,IFC Films,7.6,79.0,3721,2h 4min,Julien Temple,9702.0
340,507,Promises,247948,5.0,,,Cowboy Pictures,8.4,80.0,2552,1h 46min,B.Z. Goldberg,7644.0
341,508,The Galapagos Affair: Satan Came to Eden,247159,15.0,5185.0,1.0,Zeitgeist Films,6.7,69.0,1309,2h,Daniel Geller,12047.0
342,511,When You're Strange,246078,8.0,66833.0,8.0,Abramorama,7.7,,9049,1h 26min,Tom DiCillo,10591.0
343,513,The Summit,243550,70.0,20904.0,8.0,IFC Films,6.9,63.0,4483,1h 35min,Nick Ryan,11865.0
344,514,Oasis: Supersonic,242867,106.0,16880.0,14.0,A24,7.9,71.0,9957,2h 2min,Mat Whitecross,12983.0
345,517,49 Up,241772,21.0,53277.0,21.0,First Run,8.2,84.0,2606,3h,Michael Apted,9310.0
346,518,Manufactured Landscapes,240239,12.0,9129.0,1.0,Zeitgeist Films,7.3,79.0,2778,1h 26min,Jennifer Baichwal,9567.0
347,519,The Beaches of Agnès,239711,7.0,19032.0,3.0,The Cinema Guild,8.0,86.0,3232,1h 52min,Agnès Varda,10310.0
348,522,Generation Wealth,237709,45.0,35834.0,4.0,Magnolia Pictures,6.6,,3638,1h 45min,Lauren Greenfield,13615.0
349,524,El Bulli: Cooking in Progress,237181,10.0,12756.0,1.0,-,6.4,61.0,1067,1h 48min,Gereon Wetzel,11065.0
350,525,Deepsea Challenge,235659,304.0,149879.0,304.0,-,6.8,,1588,1h 31min,John Bruno,12173.0
