,Rank_MOJO_by_Box_office,Title,Lifetime_Gross_MOJO,Max_Theaters,Opening_Box,Opening_Th,Distributor,User_Rating_IMDB,Metacritic,Number_of_votes_IMDB,Running_Time,Director,Release_Difference
528,936,I Am Big Bird: The Caroll Spinney Story,67845,17.0,10000.0,1.0,Tribeca Film,7.5,71.0,1407,1h 26min,Dave LaMattina,12444.0
529,938,Happy Valley,67665,7.0,27122.0,7.0,Stone Five Studios,7.1,76.0,1116,1h 38min,Amir Bar-Lev,9849.0
530,1355,Happy Valley,23868,4.0,9047.0,4.0,Music Box Films,7.1,76.0,1116,1h 38min,Amir Bar-Lev,12278.0
531,941,For No Good Reason,67421,21.0,4516.0,2.0,Sony Pictures Classics,7.0,,1385,1h 29min,Charlie Paul,12068.0
532,945,Pandora's Promise,66680,16.0,23419.0,16.0,Abramorama,7.4,,1816,1h 27min,Robert Stone,11751.0
533,958,Let the Fire Burn,64489,9.0,5226.0,1.0,Zeitgeist Films,7.8,86.0,1261,1h 28min,Jason Osder,11863.0
534,959,Rock School,64310,32.0,28136.0,32.0,Picturehouse,6.4,67.0,1000,1h 33min,Don Argott,8820.0
535,964,Drunk Stoned Brilliant Dead,62660,22.0,5254.0,1.0,Magnolia Pictures,7.2,74.0,2065,1h 38min,Douglas Tirola,12586.0
536,967,The Cave,62625,10.0,21185.0,2.0,National Geographic Entertainment,7.5,83.0,2176,1h 47min,Feras Fayyad,14070.0
537,968,Tomorrow,62510,20.0,1480.0,1.0,Under The Milky Way,8.0,71.0,3136,1h 58min,Cyril Dion,13118.0
538,970,Mifune: The Last Samurai,62279,9.0,4296.0,1.0,Strand Releasing,7.2,64.0,933,1h 20min,Steven Okazaki,13013.0
539,972,Public Speaking,62173,2.0,6260.0,1.0,Rialto Pictures,7.6,,1572,1h 24min,Martin Scorsese,10911.0
540,973,Dark Star: HR Gigers Welt,61845,10.0,8349.0,5.0,Icarus Films,7.0,62.0,1027,1h 35min,Belinda Sallin,12453.0
541,974,If a Tree Falls: A Story of the Earth Liberation Front,61794,5.0,5634.0,2.0,Oscilloscope,7.2,65.0,3053,1h 25min,Marshall Curry,11030.0
542,975,War Photographer,61040,1.0,9327.0,1.0,First Run,8.0,79.0,3938,1h 36min,Christian Frei,7740.0
543,990,Roman Polanski: Wanted and Desired,59192,9.0,4613.0,1.0,THINKFilm,7.2,78.0,4799,1h 39min,Marina Zenovich,9954.0
544,991,The Trials of Muhammad Ali,59081,10.0,2980.0,1.0,Kino Lorber,7.3,74.0,1048,1h 26min,Bill Siegel,11823.0
545,993,Maxed Out,58829,6.0,20024.0,6.0,Magnolia Pictures,7.2,65.0,2139,1h 30min,James D. Scurlock,9464.0
546,994,Side by Side,58825,9.0,6956.0,1.0,Tribeca Film,7.6,82.0,12946,1h 39min,Christopher Kenneally,11452.0
547,1004,Beautiful Losers,56386,3.0,10607.0,1.0,Sidetrack Films,7.1,,1310,1h 30min,Aaron Rose,9982.0
548,1008,Terms and Conditions May Apply,55824,6.0,4446.0,1.0,Variance Films,7.3,68.0,5863,1h 19min,Cullen Hoback,11781.0
549,1011,The Lovers & the Despot,55511,13.0,14925.0,8.0,Magnolia Pictures,6.5,65.0,912,1h 38min,Ross Adam,12950.0
550,1023,The Search for General Tso,54275,13.0,9336.0,2.0,IFC Films,6.9,72.0,1643,1h 11min,Ian Cheney,12320.0
551,1024,Surviving Progress,53953,6.0,4161.0,2.0,First Run,7.4,,1758,1h 26min,Mathieu Roy,11319.0
552,1026,The Other F Word,53714,6.0,15792.0,2.0,Oscilloscope,7.3,,1880,1h 38min,Andrea Blaugrund Nevins,11165.0
553,1029,Making Waves: The Art of Cinematic Sound,53144,11.0,12348.0,3.0,Matson Films,7.6,80.0,1015,1h 34min,Midge Costin,14077.0
554,1032,To Be Takei,52823,22.0,22846.0,22.0,Starz Digital Media,6.8,66.0,1458,1h 34min,Jennifer M. Kroot,12187.0
555,1036,The Last Man on the Moon,52482,14.0,30880.0,13.0,Gravitas Ventures,7.4,78.0,3251,1h 35min,Mark Craig,12740.0
556,1037,Cropsey,52476,4.0,6306.0,1.0,Cinema Purgatorio,6.3,73.0,7574,1h 24min,Barbara Brancaccio,10647.0
557,1041,The Human Experience,52296,5.0,27170.0,5.0,Grassroots Films,7.1,,914,1h 30min,Charles Francis Kinnane,10591.0
558,1044,The Missing Picture,52164,9.0,10148.0,5.0,Strand Releasing,7.4,87.0,3032,1h 32min,Rithy Panh,12031.0
559,1045,Screamers,52034,4.0,23609.0,4.0,Maya Entertainment,6.0,,1451,1h 31min,Carla Garapedian,9373.0
560,1047,QT8: The First Eight,51896,459.0,,,Fathom Events,7.3,,2320,1h 43min,Tara Wood,14073.0
561,1050,Tickling Giants,51499,17.0,8159.0,1.0,-,8.3,78.0,1545,1h 51min,Sara Taksler,13125.0
562,1053,God Loves Uganda,51229,5.0,7300.0,1.0,Variance Films,7.4,77.0,1156,1h 23min,Roger Ross Williams,11872.0
563,1069,The Internet's Own Boy: The Story of Aaron Swartz,48911,12.0,21705.0,12.0,-,8.0,72.0,15414,1h 45min,Brian Knappenberger,12131.0
564,1070,The Seven Five,48869,5.0,14785.0,2.0,IFC Films,7.6,69.0,5267,1h 44min,Tiller Russell,12446.0
565,1071,Ghosts of Cité Soleil,48752,3.0,7100.0,1.0,THINKFilm,7.1,64.0,1727,1h 25min,Asger Leth,9574.0
566,1075,The China Hustle,48650,20.0,25791.0,20.0,Magnolia Pictures,7.2,67.0,2505,1h 22min,Jed Rothstein,13503.0
567,1077,Saving Banksy,47965,6.0,1317.0,1.0,Parade Deck Films,6.8,73.0,1012,1h 20min,Colin M. Day,13062.0
568,1080,Terror's Advocate,47724,4.0,11197.0,3.0,Magnolia Pictures,7.2,75.0,1476,2h 15min,Barbet Schroeder,9681.0
569,1082,GMO OMG,47558,9.0,15100.0,1.0,Submarine Deluxe,6.5,,1415,1h 30min,Jeremy Seifert,11844.0
570,1086,The Goebbels Experiment,47211,2.0,6769.0,1.0,First Run,7.3,67.0,942,1h 48min,Lutz Hachmeister,8890.0
571,1087,Collapse,46964,5.0,7800.0,1.0,Vitagraph Films,7.7,71.0,6623,1h 22min,Chris Smith,10437.0
572,1093,William S. Burroughs: A Man Within,46380,4.0,6510.0,1.0,Oscilloscope,7.2,63.0,1039,1h 27min,Yony Leyser,10813.0
573,1118,For Sama,43796,4.0,9350.0,3.0,PBS Distribution,8.5,89.0,7763,1h 40min,Waad Al-Kateab,13986.0
574,1120,A Grin Without A Cat,43616,1.0,8449.0,1.0,Icarus Films,8.0,81.0,914,4h,Chris Marker,7691.0
575,1125,Next Goal Wins,43089,10.0,2568.0,5.0,Ketchup Entertainment,7.9,71.0,2338,1h 37min,Mike Brett,12068.0
576,1129,Midnight Family,42310,13.0,3030.0,1.0,1091 Media,7.4,81.0,1109,1h 21min,Luke Lorentzen,14119.0
577,1131,The Pearl Button,42166,5.0,,,Kino Lorber,7.6,80.0,2284,1h 22min,Patricio Guzmán,12614.0
578,1134,We Live in Public,41711,2.0,7325.0,1.0,Abramorama,7.2,69.0,1804,1h 31min,Ondi Timoner,10367.0
579,1136,A State of Mind,41468,5.0,5515.0,1.0,Kino International,7.7,63.0,1002,1h 33min,Daniel Gordon,8888.0
580,1138,Nowitzki: The Perfect Shot,41340,4.0,20049.0,4.0,Magnolia Pictures,7.6,,1887,1h 45min,Sebastian Dehnhardt,12509.0
581,1147,Hell and Back Again,40634,4.0,3413.0,1.0,-,6.5,81.0,2190,1h 28min,Danfung Dennis,11135.0
582,1150,My Flesh and Blood,40573,7.0,18763.0,7.0,Strand Releasing,8.2,78.0,1693,1h 23min,Jonathan Karsh,8267.0
583,1155,What Our Fathers Did: A Nazi Legacy,40119,14.0,8132.0,2.0,Oscilloscope,7.0,69.0,1083,1h 36min,David Evans,12628.0
584,1157,Unrest,40081,8.0,10607.0,1.0,-,7.7,80.0,2429,1h 38min,Jennifer Brea,13314.0
585,1160,The Short Game,39819,20.0,28434.0,17.0,The Samuel Goldwyn Company,7.4,,1329,1h 39min,Josh Greenbaum,11851.0
586,1165,Prophet's Prey,39347,9.0,5000.0,1.0,-,7.3,77.0,1425,1h 30min,Amy Berg,12579.0
587,1167,How to Make Money Selling Drugs,39192,5.0,9202.0,5.0,Tribeca Film,7.6,69.0,6597,1h 36min,Matthew Cooke,11765.0
588,1187,78/52: Hitchcock's Shower Scene,37664,22.0,3738.0,1.0,IFC Films,7.3,74.0,3030,1h 31min,Alexandre O. Philippe,13335.0
589,1191,Grey Gardens,36923,1.0,13845.0,1.0,Janus Films,7.6,82.0,11941,1h 35min,Ellen Hovde,12383.0
590,1197,Mansome,36280,20.0,18395.0,20.0,Paladin,5.4,,2813,1h 22min,Morgan Spurlock,11361.0
591,1198,Welcome to Leith,36010,5.0,3707.0,1.0,First Run,7.0,78.0,3834,1h 25min,Michael Beach Nichols,12570.0
592,1202,The Year of the Yao,35591,12.0,27823.0,12.0,Fine Line Features,7.3,62.0,1087,1h 28min,Adam Del Deo,8771.0
593,1203,Finders Keepers,35555,32.0,5740.0,5.0,The Orchard,6.8,80.0,2400,1h 22min,Bryan Carberry,12586.0
594,1208,A Decade Under the Influence,34837,3.0,2320.0,1.0,IFC Films,7.6,67.0,2497,2h 18min,Ted Demme,8050.0
595,1210,Comic-Con Episode IV: A Fan's Hope,34665,6.0,8203.0,3.0,-,7.0,64.0,2710,1h 28min,Morgan Spurlock,11319.0
596,1217,The Autobiography of Nicolae Ceausescu,34023,3.0,4644.0,1.0,The Film Desk,7.7,87.0,1347,3h,Andrei Ujica,11109.0
597,1232,Of Time and the City,32677,2.0,5595.0,1.0,Strand Releasing,7.3,81.0,1896,1h 14min,Terence Davies,10148.0
598,1238,Living in Emergency,32208,7.0,21905.0,7.0,Truly Indie,8.0,76.0,1025,2h,Mark N. Hopkins,10647.0
599,1245,180° South,31745,4.0,10269.0,4.0,Magnolia Pictures,7.6,,2867,1h 25min,Chris Malloy,10633.0
600,1250,Whores' Glory,31420,3.0,5358.0,3.0,Kino Lorber,7.2,73.0,4613,1h 50min,Michael Glawogger,11340.0
601,1252,Memory: The Origins of Alien,31378,19.0,14704.0,19.0,Screen Media Films,6.7,70.0,1976,1h 35min,Alexandre O. Philippe,14056.0
602,1256,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),30975,3.0,6078.0,1.0,Lorber Films,7.6,68.0,1420,1h 56min,John Scheinfeld,10745.0
603,1257,Patti Smith: Dream of Life,30918,1.0,9993.0,1.0,Palm Pictures,7.1,66.0,959,1h 49min,Steven Sebring,9980.0
604,1258,GasLand,30846,2.0,2641.0,1.0,-,7.7,,10156,1h 47min,Josh Fox,10750.0
605,1263,Dealt,30414,10.0,4293.0,1.0,IFC Films,7.6,66.0,1576,1h 25min,Luke Korem,13342.0
606,1265,"3 1/2 Minutes, 10 Bullets",30407,8.0,2238.0,1.0,Participant,7.2,76.0,1699,1h 38min,Marc Silver,12488.0
607,1266,The Take,30380,1.0,8625.0,1.0,Icarus Films,7.7,66.0,1144,1h 27min,Avi Lewis,8566.0
608,1289,You've Been Trumped,29273,5.0,4497.0,1.0,International Film Circuit,7.5,,2150,1h 19min,Anthony Baxter,11438.0
609,1295,Hitler's Children,28663,3.0,2939.0,1.0,Film Movement,7.4,69.0,1156,59min,Chanoch Ze'evi,11543.0
610,1302,The Nightmare,28281,16.0,13363.0,16.0,Gravitas Ventures,5.8,68.0,6377,1h 31min,Rodney Ascher,12474.0
611,1304,The Ambassador,28102,8.0,13046.0,4.0,Drafthouse Films,7.3,67.0,3833,1h 37min,Mads Brügger,11464.0
612,1332,Elena,25788,2.0,10341.0,1.0,Variance Films,7.6,81.0,1653,1h 20min,Petra Costa,12103.0
613,1335,Kate Plays Christine,25564,3.0,6175.0,1.0,Grasshopper Film,6.2,75.0,924,1h 52min,Robert Greene,12922.0
614,1337,Lake of Fire,25317,9.0,2559.0,1.0,THINKFilm,8.2,83.0,2447,2h 32min,Tony Kaye,9672.0
615,1352,Shut Up Little Man! An Audio Misadventure,23901,8.0,,,Tribeca Film,6.6,,1174,1h 30min,Matthew Bate,11095.0
616,1353,Dear Mr. Watterson,23899,9.0,6199.0,5.0,Submarine Deluxe,6.4,,1768,1h 29min,Joel Allen Schroeder,11907.0
617,1357,Videocracy,23720,1.0,8324.0,1.0,Kino International,6.5,,1800,1h 25min,Erik Gandini,10535.0
618,1368,Video Games: The Movie,23043,25.0,12759.0,25.0,Variance Films,6.1,,5322,1h 41min,Jeremy Snead,12152.0
619,1370,My Scientology Movie,22936,6.0,11180.0,2.0,Magnolia Pictures,6.7,62.0,11831,1h 39min,John Dower,13118.0
620,1377,Be Here Now,22424,11.0,13577.0,11.0,Tugg,8.6,,3172,1h 40min,Lilibet Foster,12782.0
621,1378,Fuck,22359,5.0,5299.0,2.0,THINKFilm,7.0,,4164,1h 33min,Steve Anderson,9345.0
622,1379,The Atomic Cafe,22293,5.0,4098.0,1.0,Kino Lorber,7.6,,3868,1h 26min,Jayne Loader,13627.0
623,1382,And Everything Is Going Fine,22080,2.0,7035.0,1.0,IFC Films,7.1,76.0,1081,1h 29min,Steven Soderbergh,10836.0
624,1389,The Arbor,21620,3.0,2638.0,1.0,Strand Releasing,7.3,88.0,1770,1h 34min,Clio Barnard,10974.0
625,1398,Resurrect Dead: The Mystery of the Toynbee Tiles,21242,1.0,3054.0,1.0,Argot Pictures,7.3,,2073,1h 26min,Jon Foy,11102.0
626,1399,Girl Model,21154,5.0,4898.0,1.0,First Run,6.5,68.0,2153,1h 18min,David Redmon,11471.0
627,1400,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",21152,6.0,4694.0,2.0,Magnolia Pictures,7.7,76.0,3929,1h 43min,Mark Hartley,10339.0
628,1405,Cameraman: The Life and Work of Jack Cardiff,20840,3.0,1998.0,1.0,Strand Releasing,7.7,71.0,1152,1h 26min,Craig McCall,10990.0
629,1415,The Devil and Father Amorth,20449,8.0,7814.0,8.0,The Orchard,4.6,,1870,1h 8min,William Friedkin,13524.0
630,1417,Orwell Rolls in His Grave,20389,3.0,6059.0,1.0,-,8.0,,1097,1h 24min,Robert Kane Pappas,8505.0
631,1422,Zizek!,20177,1.0,7062.0,1.0,Zeitgeist Films,7.3,,1555,1h 11min,Astra Taylor,8988.0
632,1423,Shoah,20175,1.0,2874.0,1.0,IFC Films,8.6,99.0,8281,9h 26min,Claude Lanzmann,10836.0
633,1435,Active Measures,19862,2.0,9509.0,2.0,-,7.9,68.0,7388,1h 49min,Jack Bryan,13657.0
634,1439,Misery Loves Comedy,19634,8.0,5300.0,1.0,Tribeca Film,6.3,,1085,1h 34min,Kevin Pollak,12432.0
635,1450,The Kill Team,18983,2.0,,,Oscilloscope,7.0,72.0,1169,1h 19min,Dan Krauss,12159.0
636,1467,Dear Zachary: A Letter to a Son About His Father,18334,3.0,2886.0,1.0,Oscilloscope,8.5,82.0,32511,1h 35min,Kurt Kuenne,10066.0
637,1473,Casting By,18164,2.0,5649.0,2.0,Submarine Deluxe,7.6,70.0,1435,1h 29min,Tom Donahue,11893.0
638,1476,Holy Hell,18051,3.0,9238.0,3.0,WRA Productions,7.0,64.0,5041,1h 40min,Will Allen,12831.0
639,1485,The Last Shaman,17844,4.0,6799.0,1.0,Abramorama,6.7,,1157,1h 17min,Raz Degan,13181.0
640,1505,Who Took Johnny,16595,2.0,7666.0,1.0,Rumur Releasing,7.2,,2554,1h 21min,David Beilinson,12432.0
641,1510,Genesis,16413,1.0,4891.0,1.0,THINKFilm,7.1,74.0,1393,1h 21min,Claude Nuridsany,8813.0
642,1511,Mission Control: The Unsung Heroes of Apollo,16405,15.0,,,-,7.6,71.0,1235,1h 41min,David Fairhead,13153.0
643,1515,Faster,16265,1.0,13995.0,1.0,-,7.8,,1308,1h 43min,Mark Neale,8414.0
644,1516,I Like Killing Flies,16214,2.0,5487.0,1.0,THINKFilm,7.3,71.0,1146,1h 20min,Matt Mahurin,9240.0
645,1535,Full Tilt Boogie,15313,6.0,9895.0,6.0,Miramax,6.6,,2591,1h 37min,Sarah Kelly,6321.0
646,1544,Wrinkles the Clown,14938,21.0,28248.0,21.0,Magnolia Pictures,4.8,,950,1h 18min,Michael Beach Nichols,14056.0
647,1546,ZZ Top: That Little Ol' Band from Texas,14879,8.0,,,Abramorama,7.5,64.0,1063,1h 31min,Sam Dunn,14010.0
648,1549,The Farthest,14773,2.0,6900.0,2.0,Abramorama,8.1,87.0,3748,2h 1min,Emer Reynolds,13272.0
649,1550,Last Men in Aleppo,14637,5.0,1505.0,1.0,Grasshopper Film,7.4,80.0,2580,1h 23min,Feras Fayyad,13174.0
650,1552,Armadillo,14566,1.0,3958.0,1.0,Lorber Films,7.5,72.0,9216,1h 45min,Janus Metz,10962.0
651,1558,The Two Escobars,14457,1.0,,,All Rise Films,8.2,,1746,1h 44min,Jeff Zimbalist,10731.0
652,1559,The Unbelievers,14400,1.0,5925.0,1.0,-,6.9,,6422,1h 17min,Gus Holwerda,11921.0
653,1565,Newtown,14109,3.0,6796.0,2.0,Abramorama,6.8,87.0,1621,1h 25min,Kim A. Snyder,12964.0
654,1567,Screwball,13967,13.0,8595.0,13.0,Greenwich Entertainment,7.1,72.0,1129,1h 45min,Billy Corben,13867.0
655,1573,Who the #$&% Is Jackson Pollock?,13710,2.0,5526.0,2.0,Picturehouse,7.0,70.0,1175,1h 14min,Harry Morgan Moses,9350.0
656,1584,Red Obsession,13199,3.0,5060.0,2.0,Area 23a,6.7,68.0,1224,1h 15min,David Roach,11837.0
657,1590,K2: Siren of the Himalayas,12959,2.0,1421.0,2.0,First Run,7.2,63.0,927,1h 15min,Dave Ohlson,12187.0
658,1593,Children Underground,12798,1.0,3075.0,1.0,Cinemax,8.3,85.0,2190,1h 44min,Edet Belzberg,7467.0
659,1595,Heal,12668,1.0,12668.0,1.0,Paladin,6.9,,1887,1h 46min,Kelly Noonan,13342.0
660,1598,Of Fathers and Sons,12579,6.0,340.0,1.0,Kino Lorber,7.3,70.0,2075,1h 39min,Talal Derki,13734.0
661,1608,Elstree 1976,12173,14.0,3270.0,14.0,FilmRise,5.9,66.0,1307,1h 37min,Jon Spira,12810.0
662,1612,The Most Unknown,12119,2.0,2905.0,1.0,Abramorama,6.6,,1596,1h 32min,Ian Cheney,13552.0
663,1616,A Murder in the Park,12088,3.0,1310.0,1.0,IFC Films,7.3,70.0,1081,1h 31min,Shawn Rech,12495.0
664,1619,Defamation,12038,4.0,4725.0,4.0,First Run,7.4,,1318,1h 31min,Yoav Shamir,10451.0
665,1622,Minding the Gap,11998,5.0,6812.0,4.0,Magnolia Pictures,8.1,90.0,7388,1h 33min,Bing Liu,13643.0
666,1635,My Voyage to Italy,11683,1.0,7117.0,1.0,Miramax,8.2,90.0,2992,4h 6min,Martin Scorsese,7502.0
667,1644,The Final Member,11428,10.0,2064.0,7.0,Drafthouse Films,6.5,67.0,1110,1h 15min,Jonah Bekhor,12061.0
668,1679,Liv & Ingmar,10347,2.0,5451.0,2.0,Janus Films,7.4,74.0,1563,1h 29min,Dheeraj Akolkar,11935.0
669,1683,The Endless Summer,10233,32.0,,,Monterey Media,7.7,,5046,1h 35min,Bruce Brown,12157.0
670,1684,The Forecaster,10172,1.0,,,-,6.7,,1143,1h 40min,Marcus Vetter,12404.0
671,1688,The Sunshine Makers,10042,7.0,1874.0,1.0,FilmRise,7.0,68.0,1248,1h 41min,Cosmo Feilding-Mellen,13069.0
672,1693,Streetwise,9904,1.0,5006.0,1.0,Janus Films,8.2,,1645,1h 31min,Martin Bell,13979.0
673,1695,Birth of the Living Dead,9802,10.0,1239.0,6.0,First Run,7.0,65.0,1542,1h 16min,Rob Kuhns,11879.0
674,1726,Survivors Guide To Prison,8982,4.0,8982.0,4.0,Gravitas Ventures,7.1,66.0,995,1h 42min,Matthew Cooke,13468.0
675,1727,Magnus,8944,6.0,1204.0,1.0,FilmRise,7.1,,1823,1h 18min,Benjamin Ree,13006.0
676,1739,The Institute,8445,4.0,3017.0,2.0,Argot Pictures,6.2,,1164,1h 32min,Spencer McCall,11865.0
677,1742,Dreams of a Life,8405,1.0,3085.0,1.0,Strand Releasing,6.8,62.0,2938,1h 35min,Carol Morley,11438.0
678,1743,Downloaded,8377,2.0,2504.0,2.0,Abramorama,6.9,,2656,1h 46min,Alex Winter,11760.0
679,1750,We Are Twisted Fucking Sister!,8277,8.0,5804.0,6.0,Music Box Films,7.1,65.0,1578,2h 15min,Andrew Horn,12733.0
680,1751,Silicon Cowboys,8239,12.0,5724.0,12.0,FilmRise,6.8,75.0,1861,1h 17min,Jason Cohen,12943.0
681,1758,The Other Side,8074,1.0,1246.0,1.0,Film Movement,6.7,65.0,1053,1h 32min,Roberto Minervini,12824.0
682,1776,Last Days Here,7643,1.0,2671.0,1.0,IFC Films,7.5,71.0,1746,1h 31min,Don Argott,11284.0
683,1778,Tales from the Script,7535,1.0,1938.0,1.0,First Run,7.1,,1430,1h 45min,Peter Hanson,10563.0
684,1781,loudQUIETloud: A Film About the Pixies,7506,3.0,3792.0,3.0,Roxie Releasing,7.2,63.0,1299,1h 25min,Steven Cantor,9303.0
685,1784,On the Way to School,7424,2.0,,,Distrib Films,7.4,,2278,1h 21min,Özgür Dogan,12355.0
686,1784,On the Way to School,7424,2.0,,,Distrib Films,7.4,,1097,1h 17min,Pascal Plisson,12355.0
687,1785,Rubble Kings,7416,3.0,,,Saboteur Media,7.1,62.0,1055,1h 11min,Shan Nicholson,12488.0
688,1793,I Am Ali,7205,11.0,4178.0,11.0,Focus World,7.2,,3458,1h 51min,Clare Lewins,12236.0
689,1801,Corman's World: Exploits of a Hollywood Rebel,7000,2.0,7000.0,2.0,Anchor Bay Films,7.5,,2252,1h 35min,Alex Stapleton,11207.0
690,1804,"Love, Marilyn",6950,1.0,4000.0,1.0,Submarine Deluxe,7.3,,1661,1h 47min,Liz Garbus,11557.0
691,1805,Los Angeles Plays Itself,6945,1.0,5005.0,1.0,-,8.0,86.0,2139,2h 49min,Thom Andersen,8510.0
692,1811,Steve McQueen: The Man & Le Mans,6843,2.0,4079.0,2.0,FilmRise,6.8,64.0,1380,1h 42min,Gabriel Clarke,12635.0
693,1830,The Red Chapel,6196,2.0,2459.0,1.0,Lorber Films,7.3,,1780,1h 28min,Mads Brügger,10855.0
694,1841,The Work,5853,2.0,3286.0,2.0,The Orchard,7.8,84.0,1979,1h 29min,Jairus McLeary,13349.0
695,1854,American Grindhouse,5529,2.0,,,Lorber Films,7.1,,2198,1h 20min,Elijah Drenner,10661.0
696,1878,Street Fight,4779,2.0,3888.0,2.0,Frontier Films,7.9,85.0,1892,1h 23min,Marshall Curry,9084.0
697,1896,Generation Iron 2,4439,2.0,,2.0,-,6.1,,2240,1h 46min,Vlad Yudin,13181.0
698,1903,McLibel,4337,3.0,1821.0,1.0,Cinema Libre Studio,7.2,81.0,2057,1h 25min,Ken Loach,8827.0
699,1911,Heavy Metal in Baghdad,4070,2.0,2012.0,2.0,Arts Alliance America,7.7,,1077,1h 24min,Suroosh Alvi,9905.0
700,1914,Dream Boat,3981,1.0,2199.0,1.0,Strand Releasing,5.3,,1542,1h 32min,Tristan Ferland Milewski,13356.0
701,1926,In the Basement,3643,1.0,748.0,1.0,Strand Releasing,6.7,68.0,2390,1h 21min,Ulrich Seidl,12628.0
702,1927,Stop The Pounding Heart,3642,1.0,2363.0,1.0,Big World Pictures,6.7,70.0,927,1h 38min,Roberto Minervini,12215.0
703,1934,Revolution OS,3500,1.0,3500.0,1.0,Seventh Art Releasing,7.3,,2372,1h 25min,J.T.S. Moore,7805.0
704,1934,That Sugar Film,3500,10.0,3500.0,10.0,The Samuel Goldwyn Company,7.5,,9098,1h 30min,Damon Gameau,12530.0
705,1937,The Hacker Wars,3470,1.0,2958.0,1.0,Vitagraph Films,6.5,,931,1h 31min,Vivien Lesnik Weisman,12243.0
706,1948,Plastic Planet,3164,2.0,740.0,1.0,First Run,7.3,,1165,1h 35min,Werner Boote,10871.0
707,1953,Showrunners: The Art of Running a TV Show,3100,1.0,3100.0,1.0,Submarine Deluxe,6.7,68.0,1125,1h 30min,Des Doyle,12257.0
708,1956,Drew: The Man Behind the Poster,3078,1.0,1764.0,1.0,Kino Lorber,7.5,,921,1h 37min,Erik Sharkey,11814.0
709,1972,Knuckle,2647,3.0,2647.0,3.0,Vitagraph Films,6.8,65.0,2693,1h 37min,Ian Palmer,11200.0
710,1986,You're Gonna Miss Me,2324,1.0,1340.0,1.0,Palm Pictures,7.6,64.0,988,1h 31min,Keven McAlester,9555.0
711,1991,Workingman's Death,2214,2.0,2214.0,2.0,Seventh Art Releasing,8.0,67.0,1647,2h 2min,Michael Glawogger,9086.0
712,1998,"Accidental Courtesy: Daryl Davis, Race & America",1940,1.0,1452.0,1.0,First Run,7.7,63.0,1019,1h 36min,Matthew Ornstein,13055.0
713,2027,Jason Becker: Not Dead Yet,1294,2.0,319.0,2.0,Kino Lorber,8.1,70.0,1138,1h 27min,Jesse Vile,11569.0
714,2030,The Trials of Darryl Hunt,1217,2.0,619.0,2.0,THINKFilm,7.5,,996,1h 46min,Ricki Stern,9562.0
